Province,Region,CinemaSeats,TheatreSeats,StudentsPerClassroom,StudentsPerTeacher,BooksPerPeople,DoctorsPerPatients,HospitalBedsPerPatient,EarthquakeRisk,FloodRisk,Landslide/RockFallRisk,GDPPerCapita,Unemployment,Culture,Education,Healthcare,NaturalDisasters,Economy,Index,Rank
Adana,Mediterranean,5.51,3.87,3.59,5.2,1.34,5.3,6.01,7.0,5.0,3.0,3.62,2.27,45.77,22.02,58.46,-55.45,57.04,38.12,55
Adıyaman,Southeastern Anatolia,1.54,2.6,3.71,5.73,1.92,3.35,3.23,7.0,3.0,4.0,1.81,3.73,13.98,27.72,29.27,-50.5,36.86,20.45,75
Afyonkarahisar,Aegean,4.21,2.0,7.16,7.45,2.68,3.74,5.46,7.0,3.0,2.0,3.63,2.93,26.54,55.18,45.44,-40.6,53.03,41.06,41
Aksaray,Central Anatolia,2.37,3.48,5.81,5.95,2.4,2.17,2.35,1.0,5.0,2.0,3.52,2.52,24.35,40.68,16.55,-20.8,54.88,35.07,62
Amasya,Black Sea,3.95,6.86,6.3,8.2,3.87,3.35,3.61,10.0,2.0,2.0,3.64,2.66,54.44,60.18,31.61,-50.5,54.76,43.79,36
Ankara,Central Anatolia,7.6,4.79,4.95,7.0,2.11,10.0,6.34,4.0,3.0,3.0,7.95,2.69,64.03,40.22,89.51,-30.7,81.18,67.29,3
Antalya,Mediterranean,7.23,3.35,5.32,6.7,1.27,5.7,5.04,7.0,4.0,4.0,5.61,1.84,53.05,36.65,54.94,-55.45,71.98,46.47,28
Ardahan,Eastern Anatolia,1.0,5.24,7.41,6.7,4.1,3.74,2.38,7.0,1.0,2.0,3.57,2.6,26.72,59.44,26.43,-30.7,54.7,40.31,44
Artvin,Black Sea,5.76,7.78,7.41,7.98,5.35,4.52,3.08,4.0,2.0,1.0,4.62,6.18,71.0,71.15,35.56,-15.85,39.08,56.44,7
Aydın,Aegean,5.2,4.34,6.3,7.75,2.09,5.3,5.06,10.0,2.0,6.0,3.68,3.51,46.74,49.85,52.6,-70.3,49.76,38.32,53
Ağrı,Eastern Anatolia,2.09,3.17,4.45,2.95,1.75,1.78,1.88,7.0,2.0,2.0,1.0,2.08,20.78,17.48,11.25,-35.65,42.04,20.09,76
Balıkesir,Marmara,4.55,5.63,5.32,7.98,2.46,3.35,4.76,10.0,2.0,2.0,4.45,1.93,50.62,48.09,38.71,-50.5,64.26,43.97,35
Bartın,Black Sea,3.32,4.1,6.3,7.45,3.5,2.96,3.46,10.0,1.0,4.0,3.55,3.94,33.88,54.99,28.28,-55.45,46.3,33.15,63
Batman,Southeastern Anatolia,2.97,1.47,3.71,3.7,1.46,2.57,3.51,7.0,1.0,1.0,1.87,3.74,15.8,16.19,26.18,-25.75,37.17,23.52,72
