Yıl,Şehir,Nüfus
2007,Adana,2006650
2007,Adıyaman,582762
2007,Afyonkarahisar,701572
2007,Ağrı,530879
2007,Aksaray,366109
2007,Amasya,328674
2007,Ankara,4466756
2007,Antalya,1789295
2007,Ardahan,112721
2007,Artvin,168092
2007,Aydın,946971
2007,Balıkesir,1118313
2007,Bartın,182131
2007,Batman,472487
2007,Bayburt,76609
2007,Bilecik,203777
2007,Bingöl,251552
2007,Bitlis,327886
2007,Bolu,270417
2007,Burdur,251181
2007,Bursa,2439876
2007,Çanakkale,476128
2007,Çankırı,174012
2007,Çorum,549828
2007,Denizli,907325
2007,Diyarbakır,1460714
2007,Düzce,323328
2007,Edirne,396462
2007,Elazığ,541258
2007,Erzincan,213538
2007,Erzurum,784941
2007,Eskişehir,724849
2007,Gaziantep,1560023
2007,Giresun,417505
2007,Gümüşhane,130825
2007,Hakkari,246469
2007,Hatay,1386224
2007,Iğdır,181866
2007,Isparta,419845
2007,İstanbul,12573836
2007,İzmir,3739353
2007,Kahramanmaraş,1004414
2007,Karabük,218463
2007,Karaman,226049
2007,Kars,312205
2007,Kastamonu,360366
2007,Kayseri,1165088
2007,Kilis,118457
2007,Kırıkkale,280234
2007,Kırklareli,333256
2007,Kırşehir,223170
2007,Kocaeli,1437926
2007,Konya,1959082
2007,Kütahya,583910
2007,Malatya,722065
2007,Manisa,1319920
2007,Mardin,745778
2007,Mersin,1595938
2007,Muğla,766156
2007,Muş,405509
2007,Nevşehir,280058
2007,Niğde,331677
2007,Ordu,715409
2007,Osmaniye,452880
2007,Rize,316252
2007,Sakarya,835222
2007,Samsun,1228959
2007,Şanlıurfa,1523099
2007,Siirt,291528
2007,Sinop,198412
2007,Şırnak,416001
2007,Sivas,638464
2007,Tekirdağ,728396
2007,Tokat,620722
2007,Trabzon,740569
2007,Tunceli,84022
2007,Uşak,334115
2007,Van,979671
2007,Yalova,181758
2007,Yozgat,492127
2007,Zonguldak,615890
2008,Adana,2026319
2008,Adıyaman,585067
2008,Afyonkarahisar,697365
2008,Ağrı,532180
2008,Aksaray,370598
2008,Amasya,323675
2008,Ankara,4548939
2008,Antalya,1859275
2008,Ardahan,112242
2008,Artvin,166584
2008,Aydın,965500
2008,Balıkesir,1130276
2008,Bartın,185368
2008,Batman,485616
2008,Bayburt,75675
2008,Bilecik,193169
2008,Bingöl,256091
2008,Bitlis,326897
2008,Bolu,268882
2008,Burdur,247437
2008,Bursa,2507963
2008,Çanakkale,474791
2008,Çankırı,176093
2008,Çorum,545444
2008,Denizli,917836
2008,Diyarbakır,1492828
2008,Düzce,328611
2008,Edirne,394644
2008,Elazığ,547562
2008,Erzincan,210645
2008,Erzurum,774967
2008,Eskişehir,741739
2008,Gaziantep,1612223
2008,Giresun,421766
2008,Gümüşhane,131367
2008,Hakkari,258590
2008,Hatay,1413287
2008,Iğdır,184025
2008,Isparta,407463
2008,İstanbul,12697164
2008,İzmir,3795978
2008,Kahramanmaraş,1029298
2008,Karabük,216248
2008,Karaman,230145
2008,Kars,312128
2008,Kastamonu,360424
2008,Kayseri,1184386
2008,Kilis,120991
2008,Kırıkkale,279325
2008,Kırklareli,336942
2008,Kırşehir,222735
2008,Kocaeli,1490358
2008,Konya,1969868
2008,Kütahya,565884
2008,Malatya,733789
2008,Manisa,1316750
2008,Mardin,750697
2008,Mersin,1602908
2008,Muğla,791424
2008,Muş,404309
2008,Nevşehir,281699
2008,Niğde,338447
2008,Ordu,719278
2008,Osmaniye,464704
2008,Rize,319410
2008,Sakarya,851292
2008,Samsun,1233677
2008,Şanlıurfa,1574224
2008,Siirt,299819
2008,Sinop,200791
2008,Şırnak,429287
2008,Sivas,631112
2008,Tekirdağ,770772
2008,Tokat,617158
2008,Trabzon,748982
2008,Tunceli,86449
2008,Uşak,334111
2008,Van,1004369
2008,Yalova,197412
2008,Yozgat,484206
2008,Zonguldak,619151
2009,Adana,2062226
2009,Adıyaman,588475
2009,Afyonkarahisar,701326
2009,Ağrı,537665
2009,Aksaray,376907
2009,Amasya,324268
2009,Ankara,4650802
2009,Antalya,1919729
2009,Ardahan,108169
2009,Artvin,165580
2009,Aydın,979155
2009,Balıkesir,1140085
2009,Bartın,188449
2009,Batman,497998
2009,Bayburt,74710
2009,Bilecik,202061
2009,Bingöl,255745
2009,Bitlis,328489
2009,Bolu,271545
2009,Burdur,251550
2009,Bursa,2550645
2009,Çanakkale,477735
2009,Çankırı,185019
2009,Çorum,540704
2009,Denizli,926362
2009,Diyarbakır,1515011
2009,Düzce,335156
2009,Edirne,395463
2009,Elazığ,550667
2009,Erzincan,213288
2009,Erzurum,774207
2009,Eskişehir,755427
2009,Gaziantep,1653670
2009,Giresun,421860
2009,Gümüşhane,130976
2009,Hakkari,256761
2009,Hatay,1448418
2009,Iğdır,183486
2009,Isparta,420796
2009,İstanbul,12915158
2009,İzmir,3868308
2009,Kahramanmaraş,1037491
2009,Karabük,218564
2009,Karaman,231872
2009,Kars,306536
2009,Kastamonu,359823
2009,Kayseri,1205872
2009,Kilis,122104
2009,Kırıkkale,280834
2009,Kırklareli,333179
2009,Kırşehir,223102
2009,Kocaeli,1522408
2009,Konya,1992675
2009,Kütahya,571804
2009,Malatya,736884
2009,Manisa,1331957
2009,Mardin,737852
2009,Mersin,1640888
2009,Muğla,802381
2009,Muş,404484
2009,Nevşehir,284025
2009,Niğde,339921
2009,Ordu,723507
2009,Osmaniye,471804
2009,Rize,319569
2009,Sakarya,861570
2009,Samsun,1250076
2009,Şanlıurfa,1613737
2009,Siirt,303622
2009,Sinop,201134
2009,Şırnak,430424
2009,Sivas,633347
2009,Tekirdağ,783310
2009,Tokat,624439
2009,Trabzon,765127
2009,Tunceli,83061
2009,Uşak,335860
2009,Van,1022310
2009,Yalova,202531
2009,Yozgat,487365
2009,Zonguldak,619812
2010,Adana,2085225
2010,Adıyaman,590935
2010,Afyonkarahisar,697559
2010,Ağrı,542022
2010,Aksaray,377505
2010,Amasya,334786
2010,Ankara,4771716
2010,Antalya,1978333
2010,Ardahan,105454
2010,Artvin,164759
2010,Aydın,989862
2010,Balıkesir,1152323
2010,Bartın,187758
2010,Batman,510200
2010,Bayburt,74412
2010,Bilecik,225381
2010,Bingöl,255170
2010,Bitlis,328767
2010,Bolu,271208
2010,Burdur,258868
2010,Bursa,2605495
2010,Çanakkale,490397
2010,Çankırı,179067
2010,Çorum,535405
2010,Denizli,931823
2010,Diyarbakır,1528958
2010,Düzce,338188
2010,Edirne,390428
2010,Elazığ,552646
2010,Erzincan,224949
2010,Erzurum,769085
2010,Eskişehir,764584
2010,Gaziantep,1700763
2010,Giresun,419256
2010,Gümüşhane,129618
2010,Hakkari,251302
2010,Hatay,1480571
2010,Iğdır,184418
2010,Isparta,448298
2010,İstanbul,13255685
2010,İzmir,3948848
2010,Kahramanmaraş,1044816
2010,Karabük,227610
2010,Karaman,232633
2010,Kars,301766
2010,Kastamonu,361222
2010,Kayseri,1234651
2010,Kilis,123135
2010,Kırıkkale,276647
2010,Kırklareli,332791
2010,Kırşehir,221876
2010,Kocaeli,1560138
2010,Konya,2013845
2010,Kütahya,590496
2010,Malatya,740643
2010,Manisa,1379484
2010,Mardin,744606
2010,Mersin,1647899
2010,Muğla,817503
2010,Muş,406886
2010,Nevşehir,282337
2010,Niğde,337931
2010,Ordu,719183
2010,Osmaniye,479221
2010,Rize,319637
2010,Sakarya,872872
2010,Samsun,1252693
2010,Şanlıurfa,1663371
2010,Siirt,300695
2010,Sinop,202740
2010,Şırnak,430109
2010,Sivas,642224
2010,Tekirdağ,798109
2010,Tokat,617802
2010,Trabzon,763714
2010,Tunceli,76699
2010,Uşak,338019
2010,Van,1035418
2010,Yalova,203741
2010,Yozgat,476096
2010,Zonguldak,619703
2011,Adana,2108805
2011,Adıyaman,593931
2011,Afyonkarahisar,698626
2011,Ağrı,555479
2011,Aksaray,378823
2011,Amasya,323079
2011,Ankara,4890893
2011,Antalya,2043482
2011,Ardahan,107455
2011,Artvin,166394
2011,Aydın,999163
2011,Balıkesir,1154314
2011,Bartın,187291
2011,Batman,524499
2011,Bayburt,76724
2011,Bilecik,203849
2011,Bingöl,262263
2011,Bitlis,336624
2011,Bolu,276506
2011,Burdur,250527
2011,Bursa,2652126
2011,Çanakkale,486445
2011,Çankırı,177211
2011,Çorum,534578
2011,Denizli,942278
2011,Diyarbakır,1570943
2011,Düzce,342146
2011,Edirne,399316
2011,Elazığ,558556
2011,Erzincan,215277
2011,Erzurum,780847
2011,Eskişehir,781247
2011,Gaziantep,1753596
2011,Giresun,419498
2011,Gümüşhane,132374
2011,Hakkari,272165
2011,Hatay,1474223
2011,Iğdır,188857
2011,Isparta,411245
2011,İstanbul,13624240
2011,İzmir,3965232
2011,Kahramanmaraş,1054210
2011,Karabük,219728
2011,Karaman,234005
2011,Kars,305755
2011,Kastamonu,359759
2011,Kayseri,1255349
2011,Kilis,124452
2011,Kırıkkale,274992
2011,Kırklareli,340199
2011,Kırşehir,221015
2011,Kocaeli,1601720
2011,Konya,2038555
2011,Kütahya,564264
2011,Malatya,757930
2011,Manisa,1340074
2011,Mardin,764033
2011,Mersin,1667939
2011,Muğla,838324
2011,Muş,414706
2011,Nevşehir,283247
2011,Niğde,337553
2011,Ordu,714390
2011,Osmaniye,485357
2011,Rize,323012
2011,Sakarya,888556
2011,Samsun,1251729
2011,Şanlıurfa,1716254
2011,Siirt,310468
2011,Sinop,203027
2011,Şırnak,457997
2011,Sivas,627056
2011,Tekirdağ,829873
2011,Tokat,608299
2011,Trabzon,757353
2011,Tunceli,85062
2011,Uşak,339731
2011,Van,1022532
2011,Yalova,206535
2011,Yozgat,465696
2011,Zonguldak,612406
2012,Adana,2125635
2012,Adıyaman,595261
2012,Afyonkarahisar,703948
2012,Ağrı,552404
2012,Aksaray,379915
2012,Amasya,322283
2012,Ankara,4965542
2012,Antalya,2092537
2012,Ardahan,106643
2012,Artvin,167082
2012,Aydın,1006541
2012,Balıkesir,1160731
2012,Bartın,188436
2012,Batman,534205
2012,Bayburt,75797
2012,Bilecik,204116
2012,Bingöl,262507
2012,Bitlis,337253
2012,Bolu,281080
2012,Burdur,254341
2012,Bursa,2688171
2012,Çanakkale,493691
2012,Çankırı,184406
2012,Çorum,529975
2012,Denizli,950557
2012,Diyarbakır,1592167
2012,Düzce,346493
2012,Edirne,399708
2012,Elazığ,562703
2012,Erzincan,217886
2012,Erzurum,778195
2012,Eskişehir,789750
2012,Gaziantep,1799558
2012,Giresun,419555
2012,Gümüşhane,135216
2012,Hakkari,279982
2012,Hatay,1483674
2012,Iğdır,190409
2012,Isparta,416663
2012,İstanbul,13854740
2012,İzmir,4005459
2012,Kahramanmaraş,1063174
2012,Karabük,225145
2012,Karaman,235424
2012,Kars,304821
2012,Kastamonu,359808
2012,Kayseri,1274968
2012,Kilis,124320
2012,Kırıkkale,274727
2012,Kırklareli,341218
2012,Kırşehir,221209
2012,Kocaeli,1634691
2012,Konya,2052281
2012,Kütahya,573421
2012,Malatya,762366
2012,Manisa,1346162
2012,Mardin,773026
2012,Mersin,1682848
2012,Muğla,851145
2012,Muş,413260
2012,Nevşehir,285190
2012,Niğde,340270
2012,Ordu,741371
2012,Osmaniye,492135
2012,Rize,324152
2012,Sakarya,902267
2012,Samsun,1251722
2012,Şanlıurfa,1762075
2012,Siirt,310879
2012,Sinop,201311
2012,Şırnak,466982
2012,Sivas,623535
2012,Tekirdağ,852321
2012,Tokat,613990
2012,Trabzon,757898
2012,Tunceli,86276
2012,Uşak,342269
2012,Van,1051975
2012,Yalova,211799
2012,Yozgat,453211
2012,Zonguldak,606527
2013,Adana,2149260
2013,Adıyaman,597184
2013,Afyonkarahisar,707123
2013,Ağrı,551177
2013,Aksaray,382806
2013,Amasya,321977
2013,Ankara,5045083
2013,Antalya,2158265
2013,Ardahan,102782
2013,Artvin,169334
2013,Aydın,1020957
2013,Balıkesir,1162761
2013,Bartın,189139
2013,Batman,547581
2013,Bayburt,75620
2013,Bilecik,208888
2013,Bingöl,265514
2013,Bitlis,337156
2013,Bolu,283496
2013,Burdur,257267
2013,Bursa,2740970
2013,Çanakkale,502328
2013,Çankırı,190909
2013,Çorum,532080
2013,Denizli,963464
2013,Diyarbakır,1607437
2013,Düzce,351509
2013,Edirne,398582
2013,Elazığ,568239
2013,Erzincan,219996
2013,Erzurum,766729
2013,Eskişehir,799724
2013,Gaziantep,1844438
2013,Giresun,425007
2013,Gümüşhane,141412
2013,Hakkari,273041
2013,Hatay,1503066
2013,Iğdır,190424
2013,Isparta,417774
2013,İstanbul,14160467
2013,İzmir,4061074
2013,Kahramanmaraş,1075706
2013,Karabük,230251
2013,Karaman,237939
2013,Kars,300874
2013,Kastamonu,368093
2013,Kayseri,1295355
2013,Kilis,128586
2013,Kırıkkale,274658
2013,Kırklareli,340559
2013,Kırşehir,223498
2013,Kocaeli,1676202
2013,Konya,2079225
2013,Kütahya,572059
2013,Malatya,762538
2013,Manisa,1359463
2013,Mardin,779738
2013,Mersin,1705774
2013,Muğla,866665
2013,Muş,412553
2013,Nevşehir,285460
2013,Niğde,343658
2013,Ordu,731452
2013,Osmaniye,498981
2013,Rize,328205
2013,Sakarya,917373
2013,Samsun,1261810
2013,Şanlıurfa,1801980
2013,Siirt,314153
2013,Sinop,204568
2013,Şırnak,475255
2013,Sivas,623824
2013,Tekirdağ,874475
2013,Tokat,598708
2013,Trabzon,758237
2013,Tunceli,85428
2013,Uşak,346508
2013,Van,1070113
2013,Yalova,220122
2013,Yozgat,444211
2013,Zonguldak,601567
2014,Adana,2165595
2014,Adıyaman,597835
2014,Afyonkarahisar,706371
2014,Ağrı,549435
2014,Aksaray,384252
2014,Amasya,321913
2014,Ankara,5150072
2014,Antalya,2222562
2014,Ardahan,100809
2014,Artvin,169674
2014,Aydın,1041979
2014,Balıkesir,1189057
2014,Bartın,189405
2014,Batman,557593
2014,Bayburt,80607
2014,Bilecik,209925
2014,Bingöl,266019
2014,Bitlis,338023
2014,Bolu,284789
2014,Burdur,256898
2014,Bursa,2787539
2014,Çanakkale,511790
2014,Çankırı,183550
2014,Çorum,527220
2014,Denizli,978700
2014,Diyarbakır,1635048
2014,Düzce,355549
2014,Edirne,400280
2014,Elazığ,568753
2014,Erzincan,223633
2014,Erzurum,763320
2014,Eskişehir,812320
2014,Gaziantep,1889466
2014,Giresun,429984
2014,Gümüşhane,146353
2014,Hakkari,276287
2014,Hatay,1519836
2014,Iğdır,192056
2014,Isparta,418780
2014,İstanbul,14377018
2014,İzmir,4113072
2014,Kahramanmaraş,1089038
2014,Karabük,231333
2014,Karaman,240362
2014,Kars,296466
2014,Kastamonu,368907
2014,Kayseri,1322376
2014,Kilis,128781
2014,Kırıkkale,271092
2014,Kırklareli,343723
2014,Kırşehir,222707
2014,Kocaeli,1722795
2014,Konya,2108808
2014,Kütahya,571554
2014,Malatya,769544
2014,Manisa,1367905
2014,Mardin,788996
2014,Mersin,1727255
2014,Muğla,894509
2014,Muş,411216
2014,Nevşehir,286250
2014,Niğde,343898
2014,Ordu,724268
2014,Osmaniye,506807
2014,Rize,329779
2014,Sakarya,932706
2014,Samsun,1269989
2014,Şanlıurfa,1845667
2014,Siirt,318366
2014,Sinop,204526
2014,Şırnak,488966
2014,Sivas,623116
2014,Tekirdağ,906732
2014,Tokat,597920
2014,Trabzon,766782
2014,Tunceli,86527
2014,Uşak,349459
2014,Van,1085542
2014,Yalova,226514
2014,Yozgat,432560
2014,Zonguldak,598796
2015,Adana,2183167
2015,Adıyaman,602774
2015,Afyonkarahisar,709015
2015,Ağrı,547210
2015,Aksaray,386514
2015,Amasya,322167
2015,Ankara,5270575
2015,Antalya,2288456
2015,Ardahan,99265
2015,Artvin,168370
2015,Aydın,1053506
2015,Balıkesir,1186688
2015,Bartın,190708
2015,Batman,566633
2015,Bayburt,78550
2015,Bilecik,212361
2015,Bingöl,267184
2015,Bitlis,340449
2015,Bolu,291095
2015,Burdur,258339
2015,Bursa,2842547
2015,Çanakkale,513341
2015,Çankırı,180945
2015,Çorum,525180
2015,Denizli,993442
2015,Diyarbakır,1654196
2015,Düzce,360388
2015,Edirne,402537
2015,Elazığ,574304
2015,Erzincan,222918
2015,Erzurum,762321
2015,Eskişehir,826716
2015,Gaziantep,1931836
2015,Giresun,426686
2015,Gümüşhane,151449
2015,Hakkari,278775
2015,Hatay,1533507
2015,Iğdır,192435
2015,Isparta,421766
2015,İstanbul,14657434
2015,İzmir,4168415
2015,Kahramanmaraş,1096610
2015,Karabük,236978
2015,Karaman,242196
2015,Kars,292660
2015,Kastamonu,372633
2015,Kayseri,1341056
2015,Kilis,130655
2015,Kırıkkale,270271
2015,Kırklareli,346973
2015,Kırşehir,225562
