Yıl,Adana,Adıyaman,Afyonkarahisar,Aksaray,Amasya,Ankara,Antalya,Ardahan,Artvin,Aydın,Ağrı,Balıkesir,Bartın,Batman,Bayburt,Bilecik,Bingöl,Bitlis,Bolu,Burdur,Bursa,Denizli,Diyarbakır,Düzce,Edirne,Elazığ,Erzincan,Erzurum,Eskişehir,Gaziantep,Giresun,Gümüşhane,Hakkari,Hatay,Isparta,Iğdır,Kahramanmaraş,Karabük,Karaman,Kars,Kastamonu,Kayseri,Kilis,Kocaeli,Konya,Kütahya,Kırklareli,Kırıkkale,Kırşehir,Malatya,Manisa,Mardin,Mersin,Muğla,Muş,Nevşehir,Niğde,Ordu,Osmaniye,Rize,Sakarya,Samsun,Siirt,Sinop,Sivas,Tekirdağ,Tokat,Trabzon,Tunceli,Uşak,Van,Yalova,Yozgat,Zonguldak,Çanakkale,Çankırı,Çorum,İstanbul,İzmir,Şanlıurfa,Şırnak
2007,5185,253,621,754,502,18288,5970,0,700,2120,0,4462,433,290,0,367,220,61,881,575,8809,1826,2587,340,1413,904,257,1489,2386,2851,780,0,480,1836,1218,0,1184,1577,322,286,578,868,0,3627,3668,263,1190,0,318,1340,1963,0,3585,2566,0,645,454,1391,750,787,2173,1838,0,100,440,2654,700,1975,100,620,436,197,283,1531,1018,300,1160,36763,12900,515,0
2008,5498,253,1094,643,547,22399,6893,0,680,2075,0,4099,436,804,0,482,219,65,777,1098,9485,2376,2303,428,1111,599,257,1546,4556,3372,633,0,80,2033,1218,0,1478,807,311,286,573,2258,0,4597,2308,1018,1213,0,349,1390,2739,470,4365,2769,0,625,465,841,750,785,3581,3397,0,100,439,3541,1309,1631,0,1120,481,1016,820,1531,868,300,1160,65123,16475,807,0
2009,7550,150,1094,643,497,24832,7871,0,200,2674,0,2660,431,784,0,545,219,260,777,627,9426,3501,935,433,1124,689,257,2788,4979,5111,638,0,160,1733,1217,0,1478,810,553,286,627,2251,0,5225,3269,1017,1207,0,349,1412,2513,702,4043,2861,769,625,465,1026,750,839,4978,3503,200,100,940,2817,1461,2625,0,610,496,1061,285,2375,668,300,1160,70952,15397,2012,0
2010,5439,318,1887,433,538,27417,8885,180,200,3393,0,3866,431,784,0,469,254,240,897,626,9694,3506,1959,456,1124,739,257,2565,4977,4518,605,0,160,2572,1555,0,1936,797,556,286,627,2254,0,5785,3270,1129,1261,847,349,2897,3295,722,4258,3090,523,1662,685,1692,250,797,2563,3503,200,100,1533,1962,1294,2393,0,619,551,1046,285,2440,962,300,1063,79254,17746,1571,0
2011,5389,317,1887,433,533,26863,8104,180,200,2675,0,3481,431,787,0,190,258,241,872,627,9663,3505,1852,418,1115,1108,257,2575,3096,2979,607,0,80,3347,774,0,1939,797,610,274,628,2754,0,5191,5935,1280,834,847,579,2897,3439,732,4828,2443,527,1503,683,1139,500,1045,2452,3512,200,100,2163,2175,1284,3828,0,619,551,1441,265,2511,1069,324,1062,90024,16208,1568,0
2012,7486,318,1888,438,533,24600,7590,0,694,3031,377,3197,431,1112,0,190,257,241,859,626,8892,2558,2541,428,1963,692,257,2432,3769,2578,613,0,80,3337,831,0,1929,797,299,268,628,3783,0,5246,7421,1871,836,847,579,2897,4716,1366,4292,3417,460,1495,637,1278,817,859,3432,3352,204,0,1710,2724,1752,3282,100,619,551,1432,485,2502,1072,324,1062,90813,15007,1301,0
2013,7913,316,1486,471,538,28121,8015,0,686,3079,296,2907,431,1210,0,260,256,241,0,626,8751,2563,2538,608,1643,698,257,2440,3331,4818,549,0,0,3520,890,0,2849,799,299,266,628,3169,0,4978,7413,1929,831,847,579,2874,4239,2559,4032,3533,412,1506,425,1409,857,501,3407,4223,497,0,1656,2662,1221,3284,100,1356,798,1429,485,2505,1205,324,1060,111593,16468,2360,0
2014,7362,351,1266,472,538,27441,7884,0,620,3206,454,2889,379,1216,0,260,256,240,934,680,8826,2571,4634,608,1556,698,257,2427,3341,4451,556,0,0,3827,1032,0,2915,795,369,383,625,4230,256,5030,7144,1931,856,1595,582,2898,4214,1080,4206,3951,408,1492,450,1500,867,554,2910,3251,804,0,1671,2794,1814,3281,100,1338,972,1429,596,2083,1144,316,1062,94473,14183,2534,0
2015,8089,437,1751,472,538,30379,9501,0,670,3158,196,3494,379,1211,0,260,342,261,523,721,9388,2637,5921,607,1556,1143,257,2387,3332,4556,423,0,0,3693,905,0,2382,797,812,383,627,4341,256,6658,7613,2377,844,1589,579,3025,4179,885,3243,3572,410,1479,449,1222,867,852,4350,3017,815,0,1341,2797,3035,3284,100,1062,969,1429,584,2100,1444,471,1081,102303,16323,2477,0
2016,9628,429,1828,475,808,30462,9480,0,666,3785,567,2838,378,972,0,500,342,220,1386,666,7360,3295,5724,607,1951,967,420,2822,3236,4465,735,0,0,3148,1301,145,2765,820,813,389,627,4339,256,7869,7374,1866,1045,742,579,2365,3341,1131,3980,4017,404,1169,449,1181,897,939,4184,3300,307,0,927,2921,1975,3281,0,1976,1888,1896,784,2099,1708,471,1081,105793,19239,2663,0
2017,8413,278,1933,465,819,30224,12400,0,666,3823,492,3599,378,972,0,240,342,220,1967,396,9312,3295,6377,1301,1418,828,420,3287,3631,5102,744,142,80,3157,653,145,2382,1165,813,387,663,4891,256,8883,8045,1405,975,740,568,3042,2807,1131,4597,4007,403,1693,439,1140,717,1069,4819,3300,307,105,2066,3617,1994,3269,0,1976,1887,1878,1250,3049,967,461,2137,113842,18851,3333,0
2018,8179,914,1933,813,856,31226,12401,0,750,3726,587,5690,378,956,80,240,590,220,1966,402,10807,3632,6769,1303,2814,829,420,3702,3938,4924,706,142,80,3301,1462,145,2124,1128,855,387,996,4785,256,9390,6397,1418,1728,742,568,3033,4254,1538,5075,3934,403,1693,439,1456,627,1425,5027,3300,307,243,1898,3601,1991,3320,100,1976,1880,1371,1303,3034,965,456,2137,114424,20845,3103,0
2019,8789,636,1849,821,843,30831,12833,0,1324,3176,470,4592,380,986,80,190,590,220,1707,403,11076,3632,5862,1303,2814,829,420,3279,3838,4906,831,142,0,3334,1321,145,1830,1129,370,269,1375,4762,239,8388,6469,1402,1719,740,568,3032,3848,1071,5046,4534,403,1428,439,1238,708,1276,4605,3125,307,1504,1908,3601,2008,3326,100,1976,1890,1743,1303,3052,965,316,2137,110187,24064,3062,0
2020,7730,636,1849,813,808,30894,10291,0,523,2853,564,4013,381,950,80,190,551,220,1682,404,11257,3255,4323,1303,3104,818,314,3276,3849,4906,775,142,0,3171,1321,145,2413,1127,370,0,1347,4778,239,7945,6681,992,1704,742,568,3032,3816,1071,4626,4136,403,1693,439,1256,708,1319,4609,3125,807,1399,1908,3577,2008,2238,100,1670,2606,1802,1250,3060,965,316,1668,101874,21142,2843,0
2021,7553,636,1933,815,521,29488,9213,0,251,2234,268,4390,381,1237,0,190,551,220,1442,240,10595,2645,5256,1303,2367,446,314,3294,3181,4903,658,142,0,3171,1189,145,1641,1130,370,0,1713,4321,239,6698,5631,1216,1092,740,568,3032,3809,1071,4903,4128,403,1383,439,1242,708,1450,3177,3490,792,989,1929,3609,2013,1234,100,1670,1095,1745,1250,2495,965,316,1372,86241,18206,2664,679
2022,7084,636,1752,811,519,29342,12030,0,251,2308,728,4406,380,1237,295,190,551,360,1442,240,10807,2645,5256,1321,2101,0,314,2859,4904,1986,655,142,79,1080,1619,145,869,1125,370,269,1418,4660,0,10105,5367,1218,1092,740,568,0,3784,945,4836,3545,403,1693,439,1231,708,2679,3175,3493,796,958,1914,3571,2042,2958,100,1680,1554,1761,1531,2649,965,316,1372,82578,18706,2867,679
