Yıl,Adana,Adıyaman,Afyonkarahisar,Aksaray,Amasya,Ankara,Antalya,Ardahan,Artvin,Aydın,Ağrı,Balıkesir,Bartın,Batman,Bayburt,Bilecik,Bingöl,Bitlis,Bolu,Burdur,Bursa,Denizli,Diyarbakır,Düzce,Edirne,Elazığ,Erzincan,Erzurum,Eskişehir,Gaziantep,Giresun,Gümüşhane,Hakkari,Hatay,Isparta,Iğdır,Kahramanmaraş,Karabük,Karaman,Kars,Kastamonu,Kayseri,Kilis,Kocaeli,Konya,Kütahya,Kırklareli,Kırıkkale,Kırşehir,Malatya,Manisa,Mardin,Mersin,Muğla,Muş,Nevşehir,Niğde,Ordu,Osmaniye,Rize,Sakarya,Samsun,Siirt,Sinop,Sivas,Tekirdağ,Tokat,Trabzon,Tunceli,Uşak,Van,Yalova,Yozgat,Zonguldak,Çanakkale,Çankırı,Çorum,İstanbul,İzmir,Şanlıurfa,Şırnak
2004,4257,2453,3886,3452,4090,8784,7853,2781,4993,4911,1959,5344,3908,2752,3215,6749,2300,2077,7303,5418,7316,6126,3083,5222,5366,3535,4775,3250,6605,4049,3435,4104,2618,3858,4935,2697,3777,4494,5904,2546,4681,5633,2866,9867,4248,4218,6817,4041,3930,3357,5282,2338,5058,6949,2343,4641,4115,2968,2818,4836,5527,4018,2497,4445,3669,9291,3106,4404,5010,4533,1950,6484,3272,3595,5962,4450,3892,10332,7233,2620,2716
2005,5223,3036,4670,4265,5085,10795,9409,3497,6280,5737,2376,6619,4761,3419,3924,8761,2851,2508,8859,6673,9033,6914,3575,6299,6594,4441,5771,3922,8364,4787,4741,4931,3068,4822,5990,3314,4591,5528,7220,3066,5571,7012,3872,12379,5186,5349,8419,5297,5010,4500,6956,2843,6192,8632,2899,5148,4901,4036,3517,5960,6796,5066,3153,5242,4468,10947,3812,5508,5989,5268,2422,7674,4002,4525,7365,5390,4656,12524,8770,3063,3221
2006,5581,3279,5055,4618,5246,11730,10155,4012,7049,6380,2364,7016,5071,3703,4307,9626,2963,2767,9585,7154,9823,7584,3866,7190,6854,4929,6292,4220,9121,5172,5105,5253,3367,5079,6383,3717,4440,6229,7076,3420,5923,7569,3889,13877,5594,5757,8917,5864,4987,4385,7520,3147,6687,9285,3067,5376,4895,4311,3703,6404,7551,5603,3484,5866,4810,11433,4016,6062,6219,5657,2616,8941,4075,5077,7693,5404,4770,13482,9559,3188,3496
2007,6860,4028,6200,5723,6244,14550,12364,4935,9027,7265,2817,8544,6129,4404,5468,12070,3708,3504,11780,8633,11927,8875,4625,8772,8534,6057,7827,5194,11154,6102,5879,6382,4166,6284,7805,4355,5644,7503,9204,4135,7335,9161,4731,16993,6830,7235,10943,7025,6130,5366,8719,3837,8170,11047,3730,6691,6175,5199,4749,7830,9113,6646,4178,7286,5788,13940,4880,7354,7839,6762,3184,10784,5147,6294,9475,6627,5823,16489,11464,3765,4311
2008,7710,4682,7059,6469,7733,16530,13416,5572,10411,8174,3062,9891,6861,5107,5920,14180,4338,3966,13525,9927,13265,9820,5008,10275,10037,6974,9113,6044,12508,6624,7078,7256,4558,7187,9015,5090,6509,8669,10359,4618,8408,10231,4816,19104,7742,8748,12482,8307,6878,6019,10285,4245,9295,12157,4249,7548,6865,5859,5571,8758,10339,7868,4755,8219,6706,15272,5942,8379,8663,8194,3629,11910,5789,7056,10713,7775,7077,18582,12872,4108,4785
2009,6476,3813,6045,5719,6724,13650,11127,4608,8330,6726,2767,8306,5667,4149,5376,11339,3701,3358,10926,8575,10427,7797,4228,8003,8358,5844,7867,5244,10292,5278,5667,6161,3823,5749,7773,4353,5522,6898,8577,4031,7138,8097,4471,14571,6642,7202,10463,6867,6098,5147,8183,3729,7577,10400,3736,6453,5839,4676,4579,7466,8308,6393,4471,6553,5944,11967,5099,6923,7619,6859,3118,9716,5072,5683,8957,6527,5891,15185,10423,3435,4119
2010,7717,4797,7560,7099,7914,15558,13390,6970,9715,8014,3778,9788,6740,5231,6644,12624,4826,4171,12717,10294,12114,9397,5128,9455,10054,6931,9736,6561,12023,6335,6617,7627,4637,6643,8539,5462,6707,8286,8851,5372,8554,9446,5733,16778,7754,8427,12050,8194,7749,6130,9731,5068,8649,12219,4961,7898,7217,5728,6238,8785,9618,7680,5853,8305,7289,14225,6111,8301,9697,8654,3798,10627,6505,7587,11307,7739,7234,17326,12318,4421,4758
2011,8064,5210,7745,7354,8155,16224,14015,7014,10100,8456,3735,10002,7232,5508,6521,13632,5207,4738,13429,10373,13194,10309,5450,9852,9895,7274,10160,6557,12487,6917,6818,8546,4805,7202,9100,6254,6735,9619,9589,5623,8948,9924,5350,18792,8479,8860,12250,9235,8160,6696,10253,5558,9070,12473,5117,8330,7611,6029,6654,9142,9999,7985,5764,8669,7724,15325,6216,8660,10702,9458,3943,11883,6873,8470,11836,8021,7518,18377,13193,4504,4956
2012,8431,5191,7815,7707,8512,16499,14020,7243,10876,8346,3896,10300,7728,5656,7810,14862,5381,4922,13513,10985,13332,10480,5699,10177,10228,7542,11016,6948,12875,7660,7207,8888,5031,7172,9724,6552,6754,10049,10950,6088,9140,10239,5613,18801,8954,9115,12465,9241,8362,6819,10795,5711,9366,12679,5381,8060,7748,6251,6804,9503,10455,8417,5791,8533,8151,15351,6228,9104,9779,9824,5066,11900,6846,7857,11927,8556,7497,19168,13635,4473,5347
2013,9073,5576,8227,8339,8883,18362,14788,7058,11521,8783,3995,10262,8446,5770,8262,15332,6105,5329,14168,11502,14282,11134,6346,10431,10384,8128,11767,7418,14445,8624,7298,9168,5046,7857,10052,6646,7526,10778,12564,6379,9354,11003,6803,20565,9693,9550,12945,9928,8675,7334,11297,6362,9698,13209,5874,8761,7877,6681,7071,9992,10849,8657,6264,8948,8770,16401,6482,9368,10805,10445,4441,12932,7078,8713,12487,8879,7891,20883,14450,4799,6105
