Yıl,Adana,Adıyaman,Afyonkarahisar,Aksaray,Amasya,Ankara,Antalya,Ardahan,Artvin,Aydın,Ağrı,Balıkesir,Bartın,Batman,Bayburt,Bilecik,Bingöl,Bitlis,Bolu,Burdur,Bursa,Denizli,Diyarbakır,Düzce,Edirne,Elazığ,Erzincan,Erzurum,Eskişehir,Gaziantep,Giresun,Gümüşhane,Hakkari,Hatay,Isparta,Iğdır,Kahramanmaraş,Karabük,Karaman,Kars,Kastamonu,Kayseri,Kilis,Kocaeli,Konya,Kütahya,Kırklareli,Kırıkkale,Kırşehir,Malatya,Manisa,Mardin,Mersin,Muğla,Muş,Nevşehir,Niğde,Ordu,Osmaniye,Rize,Sakarya,Samsun,Siirt,Sinop,Sivas,Tekirdağ,Tokat,Trabzon,Tunceli,Uşak,Van,Yalova,Yozgat,Zonguldak,Çanakkale,Çankırı,Çorum,İstanbul,İzmir,Şanlıurfa,Şırnak
2012,39.75,34.75,24,29.25,24.5,32,28.75,20.5,18.5,24.5,36,25.5,21,43,19.75,19.25,31,28.5,24,19.5,34.25,25.5,43.75,25.5,20.5,31.75,20.5,25.25,27,37.75,21,21.5,43.75,37,20.25,34.5,33,21.25,23.75,29.25,21.25,28.5,25.75,30.25,28.25,22.75,26,22.25,23.5,29,26.5,34.75,32.25,23.75,31.75,19.75,23.75,27,37,20.5,30,28.5,30,19.5,25.5,29.5,25.25,24,14.25,23.75,37.5,27,22.5,24.5,20.75,21.75,24.75,39,32,40.5,37.75
2013,32,33.5,23.25,24,22.5,30,26.75,20.25,18.25,24,38.5,25.25,20.75,40,19.5,20.25,28,27,22.25,19.5,31.5,24.5,48,23.25,21.5,29.5,21.25,24.5,25,35.75,20.75,18.5,45.25,34.75,20.25,32,32.25,21.25,22.25,26.5,22.5,27.75,28,28.5,27,21.25,23.25,21.25,20.5,28,25.25,34.25,30.5,24,30.75,20.75,23,24.5,34,20.25,29.5,26.5,29,19,25,28,24.5,23.25,14.25,23.75,30.75,23.5,19.75,24.25,21,20,24.25,36,30.25,38,40.25
2014,32.5,29.25,21.75,22.75,21,28.75,25.5,23.25,17,22.25,35.5,24,19.25,34.25,18.75,19,26.5,27.5,21.5,18.75,28,23.5,40.5,21.75,21.25,27.75,19,25.5,25.5,38.5,18.75,17.25,44.5,31.5,19.25,32.5,32.5,20,21,24,20,26.5,25.25,27,29.25,22.25,21,20.25,21.25,25.25,24.25,32.5,27.75,22.75,27.75,21.5,22.25,23.5,29.25,20,27.5,25,26,19.25,21.75,26.25,24.75,23.25,12.5,24.5,28.75,25.25,18.25,22.75,20.25,18.5,22.25,33.5,27.75,30.25,33
2015,27.75,26.75,18.5,20.5,19,23,22.25,15.75,16.25,20,29.5,21.5,17.75,28.75,19,18,21.75,24.25,20,17,24.5,20.5,32.5,22.5,18.25,23.5,17,22,21.5,29,17.25,17.25,32,26.25,17.75,27.5,26.25,18.5,18,24.5,19.25,23.5,23.75,24,21.5,19,19.75,18,18,23,23,26.75,25,19.25,23.25,18,21.5,20.75,25.25,17,26.25,23,23.5,17.75,20,22.75,23.25,21.25,12,19.75,26.5,23,17.75,21.25,18.75,16.75,17.75,28.5,24.25,26.75,29.25
2016,26.25,25.75,18,21,19,22.5,21.5,14.25,16.25,19.25,25,21.75,17.5,26.25,17.25,19,21,23.25,19.25,20,24.5,20,28.5,22.25,17.75,23.75,16.5,20.75,20.75,27.5,16.75,16.25,31.25,25,18.25,22.5,27.5,17,17.5,20,19,23.25,22.5,23.5,21.5,18.5,19.25,17.5,17.25,23.5,22.25,25.5,24.5,18.5,23.25,18.5,20.25,21,24.75,17.75,25.75,22.75,24,18.25,19.5,22.25,20.5,20,10.75,20,26.25,20.5,16.25,19.75,17.25,15.75,17.75,26.75,23.5,26.75,26.75
2017,24,23.75,16.75,19.5,18.5,21.25,20.5,16.25,16.25,18.5,22.25,20.5,18.5,23.75,16.75,18,20.5,21,19,18.25,22.75,18.75,26.25,22,16,22,17,19.25,21,26.5,16.75,15.5,29.25,23.75,19,22.5,25,17.5,17,19.25,19.5,22.5,22.5,22.75,20.25,17.25,18.5,16.75,16.75,22,21.25,22.75,23,17.75,20.5,17.25,18.75,19.25,23.75,17.5,23.5,21.25,20.75,16.75,18.5,22,20.25,18.75,11,21.25,25.75,20.25,16,20.5,17.25,16.75,17.75,24.75,22.5,23.75,22.75
2018,23,22.25,16.25,19,16,19.75,19,14.5,15.25,17.75,22.5,19.25,18.25,22.75,19.5,18.25,19.75,21.25,18.75,18.25,21.25,17.75,24,19.75,15.25,21.25,16,18.25,20.25,26.25,16.5,15.75,26,23.75,17,21,24.75,16.75,16.25,18,19.25,22,25.5,21.75,20.5,17,16.75,16.25,16,20,20.5,23.75,21.25,17.5,22.25,16,18.25,18.75,23.75,16.5,20.5,19.75,20.25,16.25,19,21.25,19.75,18.5,11,19.5,24.5,19,15.5,19.5,17,15.25,17,24,21.25,23.5,24.25
2019,23.25,21.5,16.5,17.75,15.25,19,19,14.5,15.25,17.25,21.75,18,18.5,20.75,19.25,19.25,18.75,19.5,17.5,16.75,21.25,17,23.75,19,14.75,21,16.5,17.5,19,25.75,16,14.75,25.5,23.5,16,19.25,24.75,16,16,17.5,17.5,22,25.75,21.5,19.5,16,16.75,16,15.5,19,20.75,23,19.75,17.5,22,16,17.75,18.5,22.25,15.75,19.75,19,20,16.25,18.5,21,19.25,18,10.5,19,22.25,18.25,15.25,18.75,17.25,15.5,16.75,24.25,20.75,22.75,22.75
2020,23.75,23.5,18.25,20.25,17,19.25,21,16,15.5,18.5,23.5,20.25,19.5,22.75,20.25,19.75,20.25,21.25,19.25,17.75,23,17.75,26.75,18.75,15,22.25,17.5,18.5,19.75,26.75,17.75,16.25,25.5,25.75,17,21.25,27,16.5,17.25,19.5,19,24,24.75,22.75,21,18.25,18.25,15.75,15.75,20.5,23,24,22,19,21.5,17.5,20.25,19.75,24.75,16,21.5,19.75,22.25,17.75,19,22.5,22,19,12,20.5,24,18.25,16.25,19.5,19.75,17.5,18,25.75,22.5,25.25,24.25
2021,29.5,31.25,23,25.25,20,23.5,26.5,20.75,18,22,29.75,23.5,25,30,25.25,24,26.75,29.5,24,20.5,27.25,21.25,34.75,27.25,17.25,26.5,23,24.5,26.25,31.75,20.75,19.25,36,31.5,19.5,24.25,30.25,20.5,20.25,25,23,28.75,28.5,28,26.75,22,21,22.75,18.5,24,28.5,31.25,26.75,23.75,27.5,21.5,24,23.5,28.5,19.25,27,24.5,29.75,22.25,23.75,31,27.25,21.75,15,22.5,31.5,23.75,20.5,22.75,22,22,22,33,28,32,32.75
