Yıl,Adana,Adıyaman,Afyonkarahisar,Aksaray,Amasya,Ankara,Antalya,Ardahan,Artvin,Aydın,Ağrı,Balıkesir,Bartın,Batman,Bayburt,Bilecik,Bingöl,Bitlis,Bolu,Burdur,Bursa,Denizli,Diyarbakır,Düzce,Edirne,Elazığ,Erzincan,Erzurum,Eskişehir,Gaziantep,Giresun,Gümüşhane,Hakkari,Hatay,Isparta,Iğdır,Kahramanmaraş,Karabük,Karaman,Kars,Kastamonu,Kayseri,Kilis,Kocaeli,Konya,Kütahya,Kırklareli,Kırıkkale,Kırşehir,Malatya,Manisa,Mardin,Mersin,Muğla,Muş,Nevşehir,Niğde,Ordu,Osmaniye,Rize,Sakarya,Samsun,Siirt,Sinop,Sivas,Tekirdağ,Tokat,Trabzon,Tunceli,Uşak,Van,Yalova,Yozgat,Zonguldak,Çanakkale,Çankırı,Çorum,İstanbul,İzmir,Şanlıurfa,Şırnak
2012,19.7,17.3,16.3,16.7,13.3,16.3,16.7,16.3,12.7,14.7,27,14.7,15,23,14,16,18.3,19.7,14.7,12.7,18,14.7,23,16.3,14,16,13.3,16,15.3,23.3,15,14,26,20.3,14.3,19.3,19.3,13.7,15.3,18,14.3,18,18,19.7,17.3,14.7,16.7,14.7,12.7,15,16,21.7,16.7,14.3,22.3,14.3,15.7,16,17.7,13.7,18.3,15.7,21.3,15,15.3,21,16,14,10,14.3,23.7,15,14,16.3,13.7,16.3,15.7,22.7,15.7,27.7,25.3
2013,18.3,17.3,15.3,16,12.7,15.7,16,15.3,13,13.7,27,13.7,14,23,13.7,15,18,20.3,14.7,12.3,17.3,13.7,23.3,15,13.7,15.7,13,15.7,14.7,23,14.3,14,25.3,19,13.3,18.7,18.7,13.3,15.3,17.7,14,17,18.7,18,16.7,13.7,15.3,14,12.3,14.3,15,22,15.7,13,22.7,13.7,15,15,16.7,13.3,16.7,14.7,21.3,14,15,19.3,14.7,13,9.3,14,24.7,14.3,13.7,15,13,14.7,14.3,21.3,14.7,28,26.7
2014,17.7,16,14.7,15,12,14.7,15.3,13,12,13,21,13,13.7,20.7,12.7,15.7,16,18,13.7,11.7,17,13.3,21.3,15.3,13,15,12.3,15,13.7,21,13.3,12,21.3,18,12,16.3,17.3,12.7,15.7,16,13.7,16.3,17,17,15.3,13.7,15.3,13,11.3,13.7,14.7,20.3,14.7,12.7,19,13.3,14,13.7,16,13.3,16.7,13.7,18.3,13.7,14,18,13.7,13,9.7,13.3,21,13.7,12.7,15,12.7,14,13.7,20.3,14,23,23.7
2015,16.3,15.3,13,14.3,12,13.7,14,13.3,11.3,12,17.3,12.3,13,18,13.3,14.7,15.3,15.7,12.3,11,15.3,12.3,19,14,11.7,14.3,11.7,14.7,12.3,20,12.7,12,17.7,16.3,11.3,16,16.3,12,14,14.7,12.7,15.3,16.7,15.7,13.7,12.3,14,12,10.7,12.7,13.3,18.3,13.7,11.7,17,12.3,13.3,13,14.7,13,15.7,13,18.3,12.7,13.7,16.7,13,12.3,9.3,12.3,18,12.7,12.7,14.3,11.7,13.7,13,18.3,13.3,20.3,19.3
2016,16,14.7,13.3,14.7,11.7,14,14,13.3,12,12.3,19,12.3,12.3,17.7,12.7,14.3,14.7,16.3,12.7,11.3,16,12.7,18.7,14,11.7,14,11,14,12.3,19,12,11.7,20,16.3,12.3,15.3,17,11.7,14,14.7,12.7,15.7,18,15.3,14.3,13,14,12.7,10.7,13,14,17.7,14,12,17.7,12.7,13.7,12.7,15.3,12.3,15.7,12.7,17.3,12.3,13.7,16.3,13,12.3,9.3,13.3,18.7,13.3,13,13.7,12,14.3,13,18.7,14,20.3,21.7
2017,15.7,15,12.7,14.7,11.7,13.3,13.7,13.7,12,12.3,18.7,12,12.7,17.7,13.7,14,14.7,16,12.7,11.7,15.3,12.7,18.3,14,11.3,13.3,11.3,14,12,19.3,12,12.3,19.3,15.7,11.3,15,17.7,11.7,13.7,15,13,15.3,19.3,15.7,14.7,12.7,13.3,12.3,10.7,12.7,13.7,18.3,14,11.7,17.3,12.3,13.7,13,15.7,12,15,12.7,17.3,12.7,13.7,16.3,12.3,12,9.3,13,18,13.7,13.7,14,12.3,14,13,18,13.3,21.3,20
2018,16,13.7,13.3,14,11.7,13,13.7,12,11,12.3,15.7,12,13,16,12.3,15,13,13.7,12.7,11.3,15.7,12,16.7,14,11.3,13.3,10.7,13.3,12,18.7,12.3,11,15.7,15.7,12,14,18,12,14.3,13.7,12.3,15.7,17.7,15.3,14.3,12.3,13.7,12,10.7,12.3,13.7,16,13.7,11,14.7,12.3,13.3,13,15.7,12,14.7,12.7,15.3,12.3,12.7,17,12.7,12,9.7,12,15.7,13.7,12.3,14,12,14,13,18.3,13,19,16.7
2019,16.3,13.3,12.7,13.7,11.3,13,13.7,11.3,11,12,15,11.7,12,15.3,12,14.3,12.7,13,12.3,10.7,15.3,12,15.7,13,10.7,12.7,10.7,12.7,12,18.3,11.7,10.3,15,15.3,11,12.7,16,11,13,12.7,12,15,16.7,14.7,13.7,12,12.7,11.7,10.7,12.7,13.3,15.7,13.7,11,13.7,12,13,12.3,15.3,11.7,13.3,12,14.7,11.7,11.7,16,11.3,11.7,9,11.3,14.7,13,11.7,13.3,11.7,13.7,12.7,18,13,17.7,15.3
2020,16.3,14,12.3,13.3,11.3,13.3,13.7,11.7,11,12,15.3,12,11.7,15.7,11.7,14,13.3,14,12.7,11.3,15.7,12.3,16.3,13,11,13,11,12.7,11.7,19,11.3,10.7,15.3,15.7,11.7,13.3,15.7,10.7,12.7,13,11.3,15.3,17.7,15,14,12,13,11.3,10.7,13.3,13.3,15.7,14.3,12,14.7,11.7,12.7,12,14.7,11.7,13.7,12.3,15,11.7,11.7,16.7,11.3,11.7,9.3,11.7,15.7,13.3,11.3,12.3,12,13,12.7,18,13,19,16.3
2021,17.7,15.3,13.7,15,12,14.3,15.3,11.7,12.3,12.7,16.7,12.7,13,18.3,13.7,15.3,14.3,16,13.7,11.7,16.3,13,18,14.7,11.7,14.7,13,14.7,13.7,20,11.7,12,17.3,17,12.3,14,17,12.3,13.3,14.3,13,16.3,17,16.7,15.3,13,14,12.7,11,14.3,14.7,18,15.7,13,16.3,12.3,14.3,13,15.3,12.7,15,13.3,16.7,12.7,13,18,12.7,12.7,11.3,12.3,17,15,12.7,13,12.7,15,13.7,19.3,14.7,20.3,18.3
