Yıl,Adana,Adıyaman,Afyonkarahisar,Aksaray,Amasya,Ankara,Antalya,Ardahan,Artvin,Aydın,Ağrı,Balıkesir,Bartın,Batman,Bayburt,Bilecik,Bingöl,Bitlis,Bolu,Burdur,Bursa,Denizli,Diyarbakır,Düzce,Edirne,Elazığ,Erzincan,Erzurum,Eskişehir,Gaziantep,Giresun,Gümüşhane,Hakkari,Hatay,Isparta,Iğdır,Kahramanmaraş,Karabük,Karaman,Kars,Kastamonu,Kayseri,Kilis,Kocaeli,Konya,Kütahya,Kırklareli,Kırıkkale,Kırşehir,Malatya,Manisa,Mardin,Mersin,Muğla,Muş,Nevşehir,Niğde,Ordu,Osmaniye,Rize,Sakarya,Samsun,Siirt,Sinop,Sivas,Tekirdağ,Tokat,Trabzon,Tunceli,Uşak,Van,Yalova,Yozgat,Zonguldak,Çanakkale,Çankırı,Çorum,İstanbul,İzmir,Şanlıurfa,Şırnak
2007,209911,82126,242034,42176,125621,822208,249478,36556,93749,253178,58799,344784,31454,49949,42292,74924,61167,71345,126954,142219,311554,267694,128543,38310,157658,103384,119637,273342,171695,128321,135733,68025,37583,185039,345187,38568,97298,37518,65628,91582,209923,272991,27158,104000,459757,152064,112226,82095,112275,156565,250841,70103,189319,161319,74571,410335,144903,186584,56728,146432,112062,197947,69704,121482,313328,103699,149616,173351,65105,105498,79105,22737,153495,74759,121894,151647,241776,1102259,329608,133335,32995
2008,219897,85474,250349,46303,132018,859181,251885,35831,98627,262064,63197,358495,36986,53008,44366,80684,62209,73704,137827,143578,324076,282520,133250,40347,164669,107109,122360,283841,164783,133047,145194,74954,40695,192330,362812,37698,106479,43538,69193,99748,215323,283125,28133,106187,458684,163945,120148,88424,109852,163076,262028,74345,192354,170553,77456,416909,139882,195083,61710,152309,114494,188858,75305,121928,323492,109337,156079,181819,66920,109461,85720,24535,156184,70319,128047,156716,250841,1142606,331784,128438,35748
2009,223047,90956,265003,65473,137142,900866,260165,38810,100130,260059,68591,364376,42680,48036,46628,86543,67536,82370,134965,150899,279435,282531,134392,40433,180922,115125,127910,297992,157271,139955,151658,79073,41301,195610,383332,41819,112280,53947,73200,106383,221604,288799,30232,102316,466116,172953,126437,95334,115287,165806,273541,80189,192202,180666,83879,422809,145973,202952,68587,157697,114993,193933,80136,127170,336629,117075,157177,182013,65813,117614,79193,27087,163711,76591,135301,158621,258645,1172265,340824,127088,39794
2010,236326,90929,253525,85682,128463,934113,265766,37121,104535,257702,73172,374153,49452,52659,48698,91382,72461,86706,139266,156747,277569,286191,140581,44693,186922,119509,131582,301045,170010,156198,157146,84535,42286,204323,388158,45483,119864,62382,76774,112785,216317,292196,29760,98691,482515,184898,132025,98976,125535,168361,263255,87161,209964,191169,85621,416350,151838,212656,77209,169013,118989,205192,83656,123745,333246,108177,164801,180951,70590,124401,83287,28526,167470,79504,131718,160658,262931,1237770,345975,135650,40909
2011,254218,98860,272838,101645,139363,1032811,283401,44292,119757,271867,84123,385259,60346,63734,58253,101194,81369,96663,149247,174477,288881,298207,160141,59391,188652,126062,136917,323911,183238,154537,164432,94080,47800,218669,399807,54050,124728,73995,93520,117385,229630,300603,32121,113919,514201,194016,139097,107088,135602,180367,277605,98685,219465,210566,96523,437293,157068,227770,82094,174705,129042,212122,93529,130768,350906,120651,174756,196782,79038,136754,95426,34299,176688,90803,140791,170841,280131,1357726,339207,152085,48595
2012,262980,105548,264954,101955,135881,1096933,281408,48906,125978,264321,88343,382774,64516,70963,66243,110043,87018,101795,152359,179859,256766,299253,154302,67290,194453,127234,144927,327271,192549,166756,166077,97919,52654,229816,411379,58052,128210,79048,95961,117995,214549,293616,36823,122656,484647,194780,137082,113029,138663,182209,270864,103861,240245,216617,106165,452499,158582,238091,88351,181002,138973,223675,95960,136290,338186,127743,182320,208257,84709,138419,102514,35820,184813,101490,146082,181966,291448,1179256,337625,159767,54947
2013,266982,107454,255096,111324,145105,1174314,274127,49999,130222,269921,92170,385063,66693,76413,69409,118957,92390,104824,155268,192372,254541,318289,146179,71657,204467,126014,141346,315567,194039,172935,163908,100539,47445,240235,406279,59473,135870,82547,102317,112438,223160,289919,32480,126706,499315,202544,130018,118606,141049,190543,277088,102967,257643,214317,110002,448673,161050,244332,85942,178056,140538,224948,98747,138593,346795,128346,182556,205349,85239,138961,109753,36540,189989,104809,148477,192042,283715,1199879,352554,164418,59147
2014,275516,126574,260403,118285,156983,1275774,300575,53294,130423,282244,95454,398766,78831,76856,70389,139001,97322,113912,165193,202443,270012,329575,163804,83941,209799,118440,154919,337829,223507,169102,187109,111113,61315,237191,428387,66723,147678,97960,111489,124771,227929,302758,42276,144367,526418,198517,142776,125389,143276,194199,299129,106706,279027,228026,117369,452066,155649,260755,92578,184855,144539,234993,97164,149855,382966,142352,190771,234281,88243,140377,118729,44510,199845,118330,165616,204009,311092,1236464,384133,180941,65648
2015,298569,137680,263278,129807,166631,1347968,311277,58741,135605,295760,106894,422009,89038,81824,73190,145670,103115,134990,169000,200638,280511,348179,166999,96614,217145,124355,161890,345781,232480,192604,210620,115529,72760,248176,447211,69296,172784,107162,114681,141810,241701,307824,45652,172045,552310,216237,149112,129993,146443,208869,311883,117878,303808,243242,123188,463311,154313,280018,104683,193633,156734,260871,99633,161718,410667,151028,202966,255032,91153,134077,115725,52088,202438,129529,178776,215773,312490,1288799,413734,191694,67762
2016,307929,149460,272898,132398,177578,1436685,320504,56566,139866,304122,115191,422605,95550,86163,78807,145784,105052,131149,173192,200085,307440,362096,176727,107378,235412,129060,164333,352443,236812,207002,240148,117323,75380,267041,480365,73164,183232,116172,120119,149993,253623,308596,44670,191661,564253,217293,155025,141557,151064,216631,332886,119965,320072,256194,129698,484776,145141,297939,112918,198231,152305,275171,92802,178024,426755,158002,218891,258352,93331,141578,125268,50244,210576,132655,179438,224943,318717,1318870,411910,194177,70762
