Yıl,Adana,Adıyaman,Afyonkarahisar,Aksaray,Amasya,Ankara,Antalya,Ardahan,Artvin,Aydın,Ağrı,Balıkesir,Bartın,Batman,Bayburt,Bilecik,Bingöl,Bitlis,Bolu,Burdur,Bursa,Denizli,Diyarbakır,Düzce,Edirne,Elazığ,Erzincan,Erzurum,Eskişehir,Gaziantep,Giresun,Gümüşhane,Hakkari,Hatay,Isparta,Iğdır,Kahramanmaraş,Karabük,Karaman,Kars,Kastamonu,Kayseri,Kilis,Kocaeli,Konya,Kütahya,Kırklareli,Kırıkkale,Kırşehir,Malatya,Manisa,Mardin,Mersin,Muğla,Muş,Nevşehir,Niğde,Ordu,Osmaniye,Rize,Sakarya,Samsun,Siirt,Sinop,Sivas,Tekirdağ,Tokat,Trabzon,Tunceli,Uşak,Van,Yalova,Yozgat,Zonguldak,Çanakkale,Çankırı,Çorum,İstanbul,İzmir,Şanlıurfa,Şırnak
2007,1.5,0.8,1.2,0.9,1,3.9,1.7,0.8,1,1.5,0.7,1,1,0.9,1,0.8,0.8,0.7,1.6,1,1.3,1.6,1.2,1.8,2.5,2.2,0.9,1.6,2,1.1,0.9,0.9,0.8,0.9,2.3,0.9,0.9,1.2,1,0.8,1,1.5,0.8,1.4,1.3,0.9,1,2.1,1,1.5,1.2,0.6,1.1,1.3,0.7,0.9,0.9,0.9,1,1.1,0.9,1.7,0.8,1,2.2,1,1.2,1.9,0.9,0.9,1.1,1.1,0.9,1.5,1,1.1,0.9,1.6,2.4,0.7,0.6
2008,1.6,0.8,1.2,1,1,3.9,1.6,0.8,1,1.5,0.7,1,1.1,0.9,1.1,0.9,0.9,0.8,1.9,1.1,1.4,1.6,1.3,1.8,2.5,2.2,1,1.7,2,1.2,0.9,0.9,0.7,0.9,2.3,0.9,1,1.2,1,0.9,1.2,1.6,0.9,1.3,1.4,1,1.1,2.2,1.1,1.6,1.3,0.7,1.2,1.2,0.7,1,0.9,0.9,1,1.1,1,1.7,1,1,1.8,1,1.2,1.9,1,1.1,1.2,1.2,0.9,1.5,1.1,1.1,0.9,1.8,2.4,0.8,0.7
2009,1.6,0.8,1.3,1,1.1,3.7,1.6,1,1.2,1.5,0.7,1,1.1,1,1.1,1,0.9,0.8,1.9,1.1,1.4,1.6,1.3,1.8,2.7,2.2,1.1,1.8,1.9,1.2,1.1,1.2,0.7,1,2.3,0.9,1,1.2,1,0.9,1.2,1.7,1,1.4,1.4,1.1,1.1,2.3,1.2,1.7,1.3,0.8,1.3,1.2,0.7,1.1,0.9,1,1.1,1.4,1.1,1.7,0.9,1,1.8,1,1.2,2,1.1,1.1,1.2,1.2,1,1.6,1.3,1.1,1,1.9,2.3,0.9,0.8
2010,1.6,0.9,1.4,1.1,1.1,3.5,1.7,1.1,1.3,1.6,0.9,1.2,1.2,1.1,1.4,1,1.1,1.1,2,1.2,1.4,1.7,1.4,1.7,2.7,2.1,1.2,1.9,1.9,1.2,1.3,1.3,1,1.1,2.1,1.1,1.2,1.3,1.3,1.1,1.3,1.7,1.1,1.5,1.5,1.1,1.2,2.3,1.2,1.8,1.3,0.9,1.4,1.3,0.9,1.2,1,1.2,1.1,1.6,1.1,1.8,1.2,1.2,1.9,1.1,1.4,2.1,1.6,1.2,1.3,1.2,1.1,1.7,1.4,1.2,1.1,1.9,2.2,1,1
2011,1.7,1,1.4,1.1,1.2,3.1,1.9,1.3,1.4,1.6,0.9,1.3,1.2,1.1,1.3,1.2,1.1,1,2.2,1.3,1.5,1.8,1.4,1.8,2.8,2.1,1.4,2,2,1.3,1.3,1.3,1,1.2,2.3,1,1.2,1.4,1.3,1.2,1.4,1.8,1.2,1.5,1.7,1.2,1.3,2.3,1.2,1.9,1.5,0.9,1.4,1.4,1.1,1.2,1.1,1.2,1.2,1.6,1.3,1.9,1.2,1.2,1.8,1.2,1.4,2.2,1.3,1.2,1.4,1.3,1.2,1.8,1.4,1.3,1.2,1.9,2.2,1,1
2012,1.7,0.9,1.4,1.1,1.2,3.1,1.9,1.3,1.3,1.7,0.8,1.3,1.2,1.1,1.3,1.1,1.1,1,2.2,1.3,1.5,1.7,1.5,1.7,2.5,2.2,1.4,2,2,1.4,1.4,1.3,0.8,1.2,2.5,1.1,1.2,1.5,1.2,1.4,1.3,1.8,1.4,1.5,1.8,1.1,1.3,2.4,1.2,1.9,1.6,0.9,1.4,1.5,0.9,1.2,1,1.2,1.2,1.4,1.2,1.9,1.2,1.2,1.8,1.3,1.4,2.3,1.3,1.2,1.3,1.3,1.3,1.8,1.7,1.2,1.2,1.9,2.3,1.1,0.9
2013,1.8,1,1.5,1.1,1.2,3.2,2,1.4,1.3,1.8,0.9,1.3,1.2,1.1,1.5,1.1,1.1,1,2.3,1.3,1.5,1.8,1.5,1.7,2.5,2.1,1.3,2.1,2.1,1.4,1.3,1.1,0.9,1.3,2.6,0.9,1.2,1.4,1.2,1.4,1.2,1.9,1.5,1.6,1.8,1.1,1.3,2.4,1.2,1.9,1.6,0.9,1.4,1.5,1,1.2,1.1,1.3,1.2,1.5,1.2,2,1.1,1.1,1.9,1.4,1.5,2.3,1.4,1.2,1.3,1.4,1.4,1.8,1.7,1.1,1.2,1.8,2.4,1.2,1
2014,1.8,1,1.4,1,1.2,3.1,2,1.2,1.2,1.8,0.9,1.3,1.2,1.1,1.3,1.1,1,1,2.4,1.3,1.5,1.8,1.5,1.7,2.5,2,1.4,2.1,2.1,1.4,1.3,1,0.7,1.3,2.5,0.8,1.2,1.5,1.2,1.5,1.1,1.8,1.5,1.6,1.8,1.2,1.2,2.4,1.3,2,1.6,0.9,1.4,1.6,0.9,1.2,1,1.3,1.2,1.8,1.4,2,0.9,1.2,1.9,1.4,1.5,2.2,1.3,1.3,1.2,1.3,1.4,1.8,1.7,1.2,1.2,1.9,2.4,1.2,0.8
2015,1.9,1.2,1.5,1.1,1.2,3.1,2,1.2,1.1,1.8,0.9,1.3,1.3,1.2,1.4,1.1,1,1.1,2.4,1.3,1.6,1.9,1.6,1.7,2.6,2,1.6,2.2,2.1,1.4,1.3,1.1,0.7,1.4,2.5,1.1,1.2,1.6,1.3,1.6,1.1,1.9,1.8,1.6,1.8,1.3,1.3,2.4,1.4,2,1.6,1,1.4,1.6,0.9,1.2,1.1,1.3,1.2,1.8,1.4,2.1,1.1,1.2,1.9,1.3,1.6,2.3,1.5,1.3,1.3,1.4,1.4,1.8,1.8,1.1,1.2,2,2.4,1.3,0.7
2016,1.8,1.2,1.5,1.1,1.2,3.1,2,1.4,1.4,1.8,0.9,1.3,1.2,1.2,1.2,1.2,1.1,1.1,2.2,1.4,1.6,1.8,1.4,1.7,2.7,2,1.7,2.3,2.1,1.4,1.4,1.1,0.9,1.3,2.4,1,1.3,1.5,1.2,1.6,1.2,1.8,1.8,1.6,1.8,1.2,1.4,2.3,1.4,2.1,1.6,1,1.4,1.8,1,1.2,1.1,1.4,1.2,1.8,1.4,2,1.2,1.2,2,1.4,1.5,2.2,1.4,1.3,1.4,1.4,1.4,1.8,1.9,1.2,1.3,2.2,2.3,1.1,0.8
