Province,Flood
Adana,202
Adıyaman,96
Afyonkarahisar,97
Ağrı,188
Aksaray,51
Amasya,117
Ankara,148
Antalya,27
Ardahan,35
Artvin,52
Aydın,43
Balıkesir,44
Bartın,14
Batman,17
Bayburt,42
Bilecik,15
Bingöl,184
Bitlis,247
Bolu,32
Burdur,36
Bursa,36
Denizli,55
Diyarbakır,81
Düzce,25
Edirne,21
Elazığ,52
Erzincan,154
Erzurum,425
Eskişehir,26
Gaziantep,54
Giresun,168
Gümüşhane,67
Hakkari,40
Hatay,93
Iğdır,95
Isparta,25
Kahramanmaraş,190
Karabük,18
Karaman,19
Kars,114
Kastamonu,77
Kayseri,211
Kilis,4
Kırıkkale,64
Kırklareli,10
Kırşehir,35
Kocaeli,19
Konya,90
Kütahya,25
Malatya,69
Manisa,41
Mardin,43
Mersin,94
Muğla,34
Muş,44
Nevşehir,42
Niğde,46
Ordu,47
Osmaniye,60
Rize,96
Sakarya,45
Samsun,73
Siirt,22
Sinop,30
Sivas,315
Tekirdağ,21
Tokat,158
Trabzon,138
Tunceli,48
Uşak,7
Van,265
Yalova,4
Yozgat,170
Zonguldak,22
Çanakkale,25
Çankırı,71
Çorum,125
İstanbul,38
İzmir,48
Şanlıurfa,83
Şırnak,30
