Province,Landslide/RockFall
Adana,301
Adıyaman,470
Afyonkarahisar,118
Ağrı,190
Aksaray,94
Amasya,260
Ankara,497
Antalya,193
Ardahan,53
Artvin,765
Aydın,195
Balıkesir,143
Bartın,435
Batman,76
Bayburt,97
Bilecik,54
Bingöl,693
Bitlis,411
Bolu,145
Burdur,70
Bursa,325
Denizli,122
Diyarbakır,219
Düzce,179
Edirne,19
Elazığ,300
Erzincan,622
Erzurum,939
Eskişehir,62
Gaziantep,87
Giresun,913
Gümüşhane,326
Hakkari,91
Hatay,222
Iğdır,69
Isparta,108
Kahramanmaraş,378
Karabük,479
Karaman,177
Kars,205
Kastamonu,768
Kayseri,556
Kilis,31
Kırıkkale,76
Kırklareli,6
Kırşehir,26
Kocaeli,124
Konya,151
Kütahya,100
Malatya,688
Manisa,158
Mardin,26
Mersin,365
Muğla,65
Muş,195
Nevşehir,201
Niğde,120
Ordu,389
Osmaniye,88
Rize,1319
Sakarya,136
Samsun,329
Siirt,213
Sinop,430
Sivas,666
Tekirdağ,22
Tokat,347
Trabzon,1517
Tunceli,541
Uşak,38
Van,266
Yalova,107
Yozgat,142
Zonguldak,522
Çanakkale,71
Çankırı,295
Çorum,483
İstanbul,60
İzmir,184
Şanlıurfa,34
Şırnak,30
