Yıl,Adana,Adıyaman,Afyonkarahisar,Aksaray,Amasya,Ankara,Antalya,Ardahan,Artvin,Aydın,Ağrı,Balıkesir,Bartın,Batman,Bayburt,Bilecik,Bingöl,Bitlis,Bolu,Burdur,Bursa,Denizli,Diyarbakır,Düzce,Edirne,Elazığ,Erzincan,Erzurum,Eskişehir,Gaziantep,Giresun,Gümüşhane,Hakkari,Hatay,Isparta,Iğdır,Kahramanmaraş,Karabük,Karaman,Kars,Kastamonu,Kayseri,Kilis,Kocaeli,Konya,Kütahya,Kırklareli,Kırıkkale,Kırşehir,Malatya,Manisa,Mardin,Mersin,Muğla,Muş,Nevşehir,Niğde,Ordu,Osmaniye,Rize,Sakarya,Samsun,Siirt,Sinop,Sivas,Tekirdağ,Tokat,Trabzon,Tunceli,Uşak,Van,Yalova,Yozgat,Zonguldak,Çanakkale,Çankırı,Çorum,İstanbul,İzmir,Şanlıurfa,Şırnak
2007,1520,927,1926,1653,1929,2110,2833,958,1422,1930,635,2080,1636,499,1606,1997,731,878,3136,2528,1625,1856,706,2548,1819,1219,2070,1083,2365,1278,1636,1972,576,1090,1698,830,1140,1973,2026,791,1865,1735,1258,1684,1816,1677,1737,2501,1770,1406,1902,551,1942,3289,451,1989,1755,1459,1729,1448,2069,1557,631,1497,1833,1917,1452,1514,1273,1951,691,1887,1439,1361,2073,2747,1933,943,1748,678,522
2008,1454,899,1983,1684,1733,1970,2631,704,1405,1728,633,2038,1349,556,1361,2293,679,927,2774,2510,1547,1817,793,2444,1530,1278,2136,1028,2172,1268,1449,1812,615,1017,1895,891,1096,1646,1942,750,1759,1521,1108,1747,1714,1642,1653,2076,1733,1285,1881,524,1939,3007,448,1715,1593,1411,1784,1374,1850,1538,487,1180,1741,1521,1312,1379,1006,1889,647,1773,1367,1266,1973,2732,1843,977,1687,715,501
2009,1554,960,2035,1666,2149,2032,2629,1026,1745,1820,751,2020,1709,594,1713,2390,833,977,2953,2592,1620,1824,959,2288,1687,1306,2644,1261,2103,1346,1519,1939,545,1156,2281,910,1328,1963,1919,861,1820,1734,1425,1754,1903,1684,1618,2439,2788,1482,1993,739,1993,2879,509,2112,1774,1523,1727,1486,1873,1657,777,1666,1996,1500,1398,1408,1457,1974,661,1847,1564,1313,1938,2789,2021,943,1701,821,741
2010,1736,1063,2127,2045,2258,1989,2674,1366,1523,1971,847,2049,2072,760,2110,2130,1176,1074,3311,2596,1614,2054,950,2531,1642,1466,2890,1538,2251,1393,1491,2260,657,1310,2119,1258,1470,1872,2162,1054,2148,1944,1722,1691,2069,1619,1629,2501,2303,1576,1980,814,2055,3025,705,2270,1743,1400,1711,1605,1880,1734,848,1825,2076,1489,1685,1423,2034,2210,703,1821,1779,1276,2013,3094,2144,900,1729,918,821
2011,2002,1291,2359,2283,2668,2110,2954,1489,1857,2121,862,2442,2098,791,2151,2335,1308,1170,3125,3097,1712,2383,1055,2625,1791,1679,2982,1655,2612,1536,1704,2591,702,1500,2582,1567,1612,2166,2517,1220,2232,2315,1744,1789,2367,2004,2069,2840,2004,1804,2339,978,2427,3465,805,2464,1952,1604,2130,1641,2082,1832,818,1970,2118,1715,1775,1562,1552,2470,693,1854,1993,1458,2364,3171,2497,1019,1960,1044,712
2012,2151,1470,2462,2885,3084,2371,3426,1360,1730,2687,1092,2737,2308,1095,2546,2660,1398,1062,2971,3291,1920,3088,1235,2892,2119,1996,3208,1718,2557,1864,1952,2529,704,1887,3041,1344,2018,2190,3220,1319,2207,3093,3008,1974,3068,2241,2248,3039,2667,1821,2831,1113,2837,4153,813,3107,2148,1790,2910,1922,2574,2241,1090,2335,2396,1937,2117,1896,1634,2746,1000,2653,2050,1406,2591,3400,2653,1089,2336,1176,876
2013,2261,1718,2513,3156,2951,2355,3279,1489,1978,2773,1243,2974,2533,1196,2314,2619,1593,1222,3101,3518,2015,3057,1281,2964,1897,2251,2964,1744,2437,1956,1922,2567,809,2194,3523,1728,2033,2067,3320,1210,2309,3201,3430,1954,3102,2264,2240,3270,2738,1856,2914,1439,3162,4392,938,3282,2502,1870,3313,2297,2720,2225,1506,2268,2164,1967,2417,1927,1967,3108,1287,2753,2283,1612,2869,3180,2924,1075,2385,1228,1212
2014,2262,1763,2816,3235,3082,2281,3213,2282,2163,2954,1301,3070,2661,1123,3300,2934,1868,1509,3283,3733,2197,3215,1322,3012,2201,2317,3354,1838,2392,1975,2223,2624,706,2398,3503,1343,2273,2239,3262,1329,2372,2931,4480,2062,3092,2369,2266,3335,2775,1938,3051,1261,3111,4594,1075,3287,2440,1961,3433,2453,2768,2484,1790,2054,2260,2112,2663,1865,1757,3214,1522,2636,2402,1797,2780,3203,3150,1083,2602,1209,1245
2015,2490,2145,3220,3651,3483,2280,3425,2055,2174,3426,1586,3356,2727,1124,2966,2783,2201,1524,3411,4250,2171,3332,1341,3177,2273,2662,3809,1997,2385,2330,2630,2925,585,2678,3703,1543,2442,2443,3336,1579,2523,2840,4401,2407,3376,2581,2409,3992,3094,2012,3324,1288,3452,4914,1077,3494,2794,2102,3882,2614,3206,2855,1542,2611,2649,2268,2971,2189,2080,3348,1469,3425,2930,1950,3212,3415,3351,1097,2724,1333,1238
2016,2390,2062,3251,3648,3325,2279,3270,2471,2350,3426,1547,3639,2770,1141,2718,2629,2426,1670,3475,4430,2286,3523,1335,3270,2268,2528,4017,1916,2623,1919,2461,2622,426,2605,3817,1541,2477,2505,3685,1632,2828,2809,4204,2477,3463,2543,2542,3792,3166,2088,3347,1129,3577,4838,1193,3200,3007,2057,3696,2679,3321,2830,1559,2759,2754,2263,2965,2326,1484,3632,1285,2938,3038,1894,3419,3508,3556,1088,2581,1356,928
2017,2203,2036,3126,3606,3413,2270,3238,2348,2696,3307,1540,3471,2748,1235,2984,2995,2140,1748,3067,4706,2206,3327,1406,3120,2305,2481,3823,2103,2491,1751,2510,2204,693,2504,3414,1823,2425,2307,3762,1776,2643,2836,4093,2270,3064,2511,2112,3602,3181,2251,3266,1303,3398,4844,1196,3670,3297,2464,3515,2531,3231,2760,1646,2796,2747,2273,2981,2378,1976,3817,1208,3101,3053,1910,2958,3031,3531,1031,2424,1453,1349
2018,2234,2034,3029,3443,3138,2300,3528,2113,2356,3422,1468,3432,2744,1275,2601,2904,2023,1878,3018,4368,2205,3390,1462,3063,2257,2695,4093,1900,2645,1678,2474,2556,869,2546,3491,1636,2346,2576,3156,1620,2629,2632,3880,2259,2983,2507,2283,3608,3150,2248,3213,1520,3409,5041,1355,3734,3112,2514,3574,2349,2993,2588,1631,2876,2744,2368,2824,2331,2075,4079,1112,2784,3167,2021,3039,2940,3368,1095,2405,1457,1345
2019,2110,1951,2814,3336,2809,2055,3241,1829,2335,3313,1184,3217,2502,1365,2192,2616,1587,1454,2673,4021,2092,3087,1312,2555,2143,1915,3378,1846,2378,1716,2400,2036,790,2320,3189,1690,2157,2371,2882,1573,2425,2357,4253,1879,2677,2322,2153,3184,2585,1913,2953,1443,3231,4705,1265,3551,3018,2544,3328,2200,2544,2323,1593,2754,2446,2111,2582,2181,1654,3560,1251,2646,2889,1824,2706,2758,3129,1078,2271,1444,1342
2020,1838,1540,2346,2707,2516,1695,2714,1583,1841,2776,1071,2678,1925,1081,1841,2507,1496,1390,2092,3004,1747,2541,1144,2025,1892,1604,2991,1433,2073,1542,1866,2099,783,2137,2405,1328,1897,1639,2427,1316,2104,2078,3832,1571,2099,1813,1981,2541,2214,1811,2495,1133,2724,3874,1085,2502,2586,2129,2945,1834,2084,2086,1227,2282,2234,1735,2338,1840,2169,2634,997,2493,2327,1484,2459,2521,2611,999,2022,1330,983
2021,2107,2030,2651,3202,2991,2184,3289,1433,1970,3351,1294,3102,2201,1269,2152,2628,2119,1868,2403,3807,2122,3046,1459,2556,2259,1796,3181,1617,2440,1906,2224,2272,1060,2626,2744,1639,2197,2198,2917,1185,2561,2577,4485,2004,2566,2281,2448,2642,2400,2122,3134,1488,3259,5058,1056,3198,3126,2446,3367,2239,2571,2556,1609,2454,2534,2286,2606,1986,2212,2857,1232,2749,2710,1932,2814,3089,3190,1407,2568,1735,1160
2022,2255,1985,2753,3085,3113,2372,3729,1395,2161,3719,1167,3405,2267,1259,1971,2755,2081,1429,2425,4237,2258,3131,1416,2774,2324,1736,3353,1495,2572,1809,1941,1999,850,2818,2852,1636,2295,2289,3071,1266,2322,2661,4739,2053,2671,2411,2431,3014,2523,2000,3145,1426,3473,5315,1057,3490,2991,2545,3604,2203,2582,2650,1548,2527,2588,2448,3030,1955,2300,3100,1286,3165,2569,2075,3128,3131,3137,1440,2729,1707,1185
