Yıl,Adana,Adıyaman,Afyonkarahisar,Aksaray,Amasya,Ankara,Antalya,Ardahan,Artvin,Aydın,Ağrı,Balıkesir,Bartın,Batman,Bayburt,Bilecik,Bingöl,Bitlis,Bolu,Burdur,Bursa,Denizli,Diyarbakır,Düzce,Edirne,Elazığ,Erzincan,Erzurum,Eskişehir,Gaziantep,Giresun,Gümüşhane,Hakkari,Hatay,Isparta,Iğdır,Kahramanmaraş,Karabük,Karaman,Kars,Kastamonu,Kayseri,Kilis,Kocaeli,Konya,Kütahya,Kırklareli,Kırıkkale,Kırşehir,Malatya,Manisa,Mardin,Mersin,Muğla,Muş,Nevşehir,Niğde,Ordu,Osmaniye,Rize,Sakarya,Samsun,Siirt,Sinop,Sivas,Tekirdağ,Tokat,Trabzon,Tunceli,Uşak,Van,Yalova,Yozgat,Zonguldak,Çanakkale,Çankırı,Çorum,İstanbul,İzmir,Şanlıurfa,Şırnak
2007,3123,300,1744,556,630,7254,4944,139,305,2309,793,2888,344,290,97,347,138,176,734,630,5142,2756,2142,735,1414,1005,462,1254,1805,3382,550,63,154,1150,761,114,820,508,520,595,928,1471,108,1985,3849,944,673,313,262,1110,3574,398,3193,1292,167,566,471,612,845,304,1819,2161,151,212,974,1964,1160,1012,100,872,1354,297,875,1316,1756,269,1151,20394,11538,1370,254
2008,2356,318,1138,383,521,5177,3266,94,142,1690,370,1622,254,243,40,272,124,106,385,410,3256,1697,1506,386,818,602,267,570,918,1903,294,59,75,1081,452,117,656,226,312,345,407,1101,85,1384,2171,583,306,237,205,614,2370,296,1892,1022,108,396,417,394,734,242,1129,1371,100,156,528,925,688,536,54,501,605,228,374,737,984,127,668,11908,4882,468,187
2009,2406,169,1123,266,500,4063,2788,84,74,2085,343,1633,244,144,40,262,100,95,396,520,2657,2244,1321,409,799,710,314,573,714,1900,231,40,78,720,906,73,604,265,353,382,365,1478,95,1347,1636,648,322,153,165,491,2158,170,1893,1071,91,534,314,316,748,190,1070,1039,88,114,442,1093,555,455,53,484,700,156,307,569,1133,76,597,11704,6378,410,125
2010,2956,220,1229,347,531,4662,3965,84,96,2366,559,2125,241,207,22,368,107,127,577,515,3448,2283,1615,475,1159,795,338,810,807,2439,392,38,128,783,936,83,1005,294,400,354,483,1711,132,1486,1845,716,389,273,210,555,2578,216,2268,1434,103,517,262,478,668,141,1095,1131,103,146,347,1265,632,492,79,615,956,224,305,679,1389,92,729,13057,8013,588,176
2011,2748,264,1206,350,464,3853,4196,57,128,2136,311,2024,231,197,13,264,108,114,532,354,3142,1984,1131,465,808,587,184,747,724,2118,314,31,108,840,834,73,889,233,337,253,517,1609,96,1153,1884,570,462,234,194,482,2125,249,2120,1404,108,413,284,571,506,189,1061,1106,140,143,345,1108,643,381,56,520,861,217,307,611,1026,123,647,12336,7189,597,157
2012,4541,406,1667,509,660,5531,6482,122,147,2677,454,2983,285,313,82,400,215,175,477,485,4669,2349,1919,592,1010,902,347,1084,1542,3088,518,140,119,1648,910,166,1700,350,574,414,808,2355,208,1868,3080,970,565,366,343,817,3087,445,3563,1788,186,668,663,880,869,323,1454,1844,218,301,783,1546,946,698,69,794,805,432,504,1038,1434,213,1017,14546,8975,1107,268
2013,6545,657,1886,715,825,7707,7161,332,263,3743,825,3860,452,581,113,476,458,461,869,768,5545,3526,2917,948,1366,1348,469,1501,1859,4367,1074,350,229,2671,1118,393,2212,479,881,598,900,3439,316,2857,4653,1257,843,603,458,1422,4580,698,5139,2693,297,903,1041,1672,1248,485,2246,2980,329,472,956,1740,1361,1530,197,1198,1371,448,741,1651,1641,309,1370,18071,12776,1920,352
2014,7084,574,1716,861,809,8619,7685,266,212,3794,756,3754,406,639,92,541,364,425,795,654,6515,3563,2863,945,1566,1455,587,1643,1942,4341,1020,286,265,2896,1100,465,2102,574,831,625,844,3645,315,3057,4880,1183,977,581,485,1402,4278,893,5598,2643,358,782,975,1700,1320,515,2027,3233,297,506,1202,1914,1226,1333,143,1199,1370,517,812,1465,1564,293,1366,22085,13705,2018,395
2015,7032,533,1655,756,803,8626,7883,233,242,3498,736,3578,360,638,82,471,367,443,699,608,6518,3442,2641,981,1425,1251,485,1569,1893,4279,761,154,234,2818,1131,425,1924,486,778,587,821,3496,313,3040,5191,1149,1029,513,446,1360,3999,754,5252,2640,437,811,834,1469,1387,544,1961,2999,317,441,1133,2015,1104,979,146,1071,1511,573,656,1272,1346,283,1120,24599,14491,1883,316
2016,7304,758,1849,856,987,9654,8985,216,272,3944,871,3964,451,791,109,541,353,625,822,590,7332,3856,3308,1014,1477,1398,517,1513,2261,4485,781,173,367,3151,1181,574,2257,536,788,675,927,3811,362,3492,5174,1163,983,642,465,1394,4418,968,5929,2881,484,889,999,1641,1332,498,2270,3060,331,483,1118,2496,1203,1181,154,1159,2055,608,799,1324,1469,282,1247,27378,16070,2509,485
2017,8785,884,2234,825,960,11727,10428,239,322,4496,1000,4173,473,860,98,657,363,700,926,697,8590,4130,3858,1271,1647,1578,572,1676,2543,5328,868,214,412,3337,1513,521,2177,512,809,671,767,4744,548,4081,6239,1270,1014,769,500,1620,4798,1289,7409,3133,502,974,1080,1757,1550,688,2544,3652,462,534,1302,2783,1104,1518,137,1313,2098,744,743,1497,1663,288,1357,33481,17131,2891,679
2018,10359,1104,2828,1171,1184,13408,12022,287,446,5397,1343,5541,532,1273,130,892,479,811,952,1096,9604,4783,4784,1249,2145,1799,621,1899,2838,7628,1067,269,474,4672,1840,631,2459,631,989,723,855,5427,791,5184,7345,1688,1350,853,668,1827,6098,1571,7986,4001,739,1088,1396,2195,1854,985,3406,4756,665,635,1822,3088,1407,1983,194,1361,2447,1050,907,1735,2242,367,1618,44802,20799,4010,1301
2019,10189,1251,3218,1495,1397,13580,12874,335,476,5939,1526,5414,555,1126,180,832,547,883,1112,1172,9726,5056,4713,1539,2188,1817,702,2190,2765,7884,1293,253,443,4788,2346,755,2788,738,1248,873,986,5700,683,5445,9134,1757,1367,873,666,2090,6642,1548,7261,4515,741,1149,1275,2255,1865,1118,4140,5482,618,745,1978,3283,1525,1903,226,1540,2441,898,914,1931,2190,381,1781,47091,21452,4376,1389
2020,8211,920,2660,1481,1409,13812,12840,249,487,5706,1228,4897,579,1153,143,852,559,665,1239,1091,8975,5035,4186,1399,2069,1796,575,1787,2697,6070,1339,288,506,4018,2164,642,2452,705,1151,699,1024,5890,596,4725,7960,1533,1447,848,742,1900,5960,1499,6818,4483,651,1132,1449,2057,1648,1145,3346,4970,553,705,2168,3021,1517,2099,229,1586,2314,802,1070,1936,1887,366,1671,41266,19729,4041,854
