Yıl,Tür,Adana,Adıyaman,Afyonkarahisar,Aksaray,Amasya,Ankara,Antalya,Ardahan,Artvin,Aydın,Ağrı,Balıkesir,Bartın,Batman,Bayburt,Bilecik,Bingöl,Bitlis,Bolu,Burdur,Bursa,Denizli,Diyarbakır,Düzce,Edirne,Elazığ,Erzincan,Erzurum,Eskişehir,Gaziantep,Giresun,Gümüşhane,Hakkari,Hatay,Isparta,Iğdır,Kahramanmaraş,Karabük,Karaman,Kars,Kastamonu,Kayseri,Kilis,Kocaeli,Konya,Kütahya,Kırklareli,Kırıkkale,Kırşehir,Malatya,Manisa,Mardin,Mersin,Muğla,Muş,Nevşehir,Niğde,Ordu,Osmaniye,Rize,Sakarya,Samsun,Siirt,Sinop,Sivas,Tekirdağ,Tokat,Trabzon,Tunceli,Uşak,Van,Yalova,Yozgat,Zonguldak,Çanakkale,Çankırı,Çorum,İstanbul,İzmir,Şanlıurfa,Şırnak
2007,İlköğretim,98.30,97.40,94.30,94.00,98.60,100.00,99.80,94.60,98.20,100.00,86.30,99.00,99.00,95.50,97.20,98.20,95.70,87.70,95.80,93.90,100.00,97.50,96.40,98.00,98.30,92.40,95.80,93.10,100.00,99.10,93.90,82.40,98.70,97.80,96.10,91.80,94.90,98.70,96.30,95.30,98.30,99.60,96.10,100.00,96.90,96.90,97.90,97.10,93.50,98.70,97.30,90.60,99.10,99.40,85.00,96.00,96.10,94.60,93.90,98.00,98.60,98.30,90.60,96.80,95.60,100.00,93.20,96.20,89.00,95.90,87.80,100.00,90.20,98.10,97.00,92.80,94.60,100.00,100.00,92.70,90.70
2008,İlköğretim,97.30,96.10,94.90,95.90,98.40,99.40,98.30,93.70,98.10,98.90,92.70,98.50,98.80,94.10,96.50,98.20,92.60,86.00,97.60,95.80,98.50,97.40,94.70,97.80,97.50,91.20,96.20,92.60,98.20,97.80,94.90,93.40,96.80,97.10,95.00,93.50,94.20,98.10,96.40,93.50,97.80,98.40,94.00,99.10,96.80,97.30,98.00,96.80,93.10,97.50,97.70,90.70,99.10,98.20,87.30,96.40,95.60,95.30,93.60,97.20,97.80,98.40,91.70,95.00,96.30,98.40,93.00,96.50,88.20,97.30,87.70,97.80,88.60,98.10,98.40,92.10,96.00,98.60,99.20,91.30,90.70
2009,İlköğretim,99.00,97.70,96.70,98.50,99.60,99.90,98.70,95.70,98.90,99.60,97.50,99.40,99.10,97.10,97.40,98.10,94.50,93.60,98.20,96.40,99.50,98.20,97.90,98.60,99.00,98.00,96.70,96.20,98.80,99.20,97.10,94.90,90.20,98.10,96.80,97.10,97.00,99.00,97.70,95.90,99.00,99.20,96.60,99.60,97.90,98.50,99.10,96.90,97.90,98.00,98.70,96.10,99.20,98.60,94.10,97.50,97.40,95.80,96.20,98.70,99.00,99.00,95.50,97.80,97.60,99.00,93.40,95.90,96.00,98.60,93.90,98.50,90.00,99.40,99.40,89.10,98.00,99.70,99.40,96.30,95.70
2010,İlköğretim,99.00,98.10,97.90,99.00,100.00,99.50,98.50,97.40,99.10,99.50,97.80,99.00,99.90,97.80,98.00,98.40,95.30,95.50,98.30,96.70,99.20,98.10,98.50,98.50,99.90,98.40,97.00,96.80,99.00,99.10,98.40,96.50,92.40,98.50,97.40,97.80,97.60,99.40,98.10,96.50,99.40,99.00,97.10,99.30,98.40,99.00,99.00,98.30,98.20,98.30,98.90,96.80,99.10,98.30,98.10,98.80,97.80,96.70,96.70,98.90,99.00,99.30,97.10,98.30,98.60,98.60,94.80,96.20,96.50,98.60,95.30,98.70,91.50,99.70,99.30,91.60,98.40,99.40,99.10,97.30,97.00
2011,İlköğretim,99.40,98.70,99.00,99.30,100.00,99.50,98.80,98.70,99.40,99.60,98.60,99.30,100.00,99.30,98.60,98.50,96.50,97.50,98.50,96.60,99.30,98.20,99.30,98.70,100.00,98.90,98.50,97.50,98.90,99.40,98.50,96.60,95.60,98.60,99.10,98.20,98.30,99.20,98.50,97.30,99.80,99.00,97.80,99.10,98.70,99.20,99.00,98.70,98.30,98.70,99.20,97.80,100.00,98.30,98.30,99.00,98.40,98.30,97.10,99.20,99.10,99.30,98.20,98.70,99.20,98.60,94.30,98.50,96.50,98.90,86.80,98.70,93.90,99.90,99.30,95.20,98.40,99.50,99.30,98.60,98.40
2012,İlköğretim,99.20,98.60,98.30,98.90,99.40,99.40,98.90,98.40,99.50,99.30,98.50,99.10,99.60,98.50,98.20,98.70,96.80,97.60,98.20,97.00,99.20,98.50,99.20,98.90,99.70,98.50,98.20,97.50,98.80,99.20,98.40,94.00,95.10,98.40,98.90,98.50,98.50,99.30,98.90,97.70,99.70,99.10,98.00,99.60,98.90,99.30,99.30,97.30,98.10,98.40,99.20,98.30,99.00,98.70,98.50,98.90,98.40,94.60,98.70,98.90,99.10,99.60,98.30,99.40,98.90,98.90,92.90,99.00,96.60,98.90,97.00,98.60,95.40,100.00,98.70,90.00,98.70,99.60,98.90,98.80,98.00
2013,İlköğretim,99.60,99.50,99.00,99.50,100.00,100.00,99.40,98.40,99.00,99.80,99.10,99.60,100.00,98.70,98.90,98.80,97.90,98.40,98.80,98.50,99.50,99.80,99.70,98.70,100.00,98.40,99.30,99.00,99.50,99.50,98.70,93.20,95.20,99.20,100.00,99.40,99.00,99.50,99.40,98.60,99.60,99.70,98.20,99.60,99.60,99.90,99.80,97.80,98.50,99.60,99.90,98.90,99.50,99.50,99.00,99.70,98.50,97.50,99.40,99.40,99.60,99.70,99.00,98.10,99.50,99.60,95.60,99.80,96.70,99.30,98.20,98.60,97.00,100.00,99.20,88.50,99.10,99.60,99.40,99.20,98.50
2014,İlköğretim,97.40,97.60,95.90,94.50,97.90,97.30,95.70,97.60,97.40,97.00,97.60,96.90,98.30,97.30,92.30,96.30,97.00,97.20,96.20,94.80,97.20,96.20,97.90,97.00,97.40,97.10,96.70,97.20,96.60,97.90,95.20,79.70,92.70,96.70,95.00,97.50,96.60,97.30,96.50,97.90,97.80,97.40,97.10,97.30,96.80,97.20,97.10,96.70,94.90,97.50,97.40,97.60,96.90,96.00,97.10,96.20,96.90,96.60,96.40,97.40,97.50,97.70,97.50,96.80,97.20,97.00,92.40,97.00,95.50,96.50,97.40,95.90,90.10,97.80,96.40,89.80,96.50,97.90,96.90,98.00,97.40
2015,İlköğretim,96.30,96.80,95.40,93.80,97.10,96.00,94.90,97.20,96.70,96.30,97.80,96.20,97.80,97.20,91.40,95.00,96.50,96.70,94.90,94.50,97.00,95.50,97.70,96.40,96.60,96.80,95.10,96.70,95.50,97.20,94.70,73.30,92.50,96.20,94.40,97.50,95.70,96.30,96.10,97.90,95.50,96.70,96.60,96.80,96.40,96.40,96.60,96.20,93.90,96.70,96.40,97.40,96.50,95.10,96.00,96.20,96.10,95.30,95.00,96.80,96.50,96.70,97.30,96.20,96.50,96.40,91.40,96.80,94.70,95.40,97.30,94.80,90.70,97.00,95.60,89.50,94.90,97.00,96.50,98.10,97.70
2016,İlköğretim,96.50,97.00,95.90,94.50,96.80,96.20,95.10,98.50,97.10,96.30,98.10,96.30,97.60,97.90,83.00,95.20,96.80,97.70,95.30,94.20,96.30,95.50,97.90,96.30,96.40,97.10,95.30,97.10,95.70,97.10,90.80,61.70,93.80,96.40,95.20,98.00,95.90,96.40,95.90,98.00,96.10,96.40,96.60,96.90,95.70,96.40,96.30,96.80,94.80,96.70,96.40,97.90,96.80,95.30,96.70,96.10,96.50,94.00,94.80,96.70,96.90,97.00,98.10,97.10,96.70,96.60,90.90,96.60,94.70,95.70,98.40,96.00,91.00,96.80,95.50,90.30,95.60,97.20,96.10,98.50,98.20
