Yıl,Tür,Adana,Adıyaman,Afyonkarahisar,Aksaray,Amasya,Ankara,Antalya,Ardahan,Artvin,Aydın,Ağrı,Balıkesir,Bartın,Batman,Bayburt,Bilecik,Bingöl,Bitlis,Bolu,Burdur,Bursa,Denizli,Diyarbakır,Düzce,Edirne,Elazığ,Erzincan,Erzurum,Eskişehir,Gaziantep,Giresun,Gümüşhane,Hakkari,Hatay,Isparta,Iğdır,Kahramanmaraş,Karabük,Karaman,Kars,Kastamonu,Kayseri,Kilis,Kocaeli,Konya,Kütahya,Kırklareli,Kırıkkale,Kırşehir,Malatya,Manisa,Mardin,Mersin,Muğla,Muş,Nevşehir,Niğde,Ordu,Osmaniye,Rize,Sakarya,Samsun,Siirt,Sinop,Sivas,Tekirdağ,Tokat,Trabzon,Tunceli,Uşak,Van,Yalova,Yozgat,Zonguldak,Çanakkale,Çankırı,Çorum,İstanbul,İzmir,Şanlıurfa,Şırnak
2012,Ortaokul,20,16,17,16,14,19,16,14,11,15,30,15,15,24,12,18,18,20,15,13,19,16,24,16,16,18,13,16,18,24,15,11,24,22,14,19,20,15,15,17,14,19,17,21,18,15,18,15,13,16,17,23,18,14,22,15,16,17,17,14,18,17,22,14,15,24,16,13,9,14,26,15,13,18,15,17,17,25,17,32,23
2013,Ortaokul,20,17,16,16,13,17,16,14,12,14,30,14,14,24,12,16,19,21,15,12,18,14,25,15,15,16,13,16,16,24,15,11,23,20,13,18,19,14,15,16,15,18,19,19,18,14,16,15,12,14,16,23,17,13,24,14,16,15,17,14,18,16,24,15,14,21,14,12,9,14,27,14,13,16,14,16,15,23,15,32,23
2014,Ortaokul,19,16,15,15,12,15,16,12,11,13,20,13,14,20,11,17,15,17,14,11,18,13,21,16,14,15,12,15,14,21,13,10,19,19,12,14,17,13,15,14,14,17,17,17,15,14,16,13,11,13,15,20,15,13,18,13,14,14,16,14,17,14,19,15,13,20,13,12,10,13,21,13,12,16,13,15,14,22,14,23,19
2015,Ortaokul,17,15,13,14,11,14,14,12,11,12,16,12,13,16,12,16,14,14,12,10,16,12,18,13,12,15,11,14,13,20,12,10,16,17,11,14,16,12,14,12,13,15,16,16,13,12,14,12,10,12,13,17,14,12,16,12,13,13,14,13,16,13,19,13,13,18,12,11,9,12,17,12,12,15,12,14,13,20,13,19,16
2016,Ortaokul,17,15,14,15,11,15,15,13,13,13,20,13,13,19,12,15,15,17,13,11,18,13,19,15,13,15,11,14,14,20,12,11,20,18,13,15,18,12,15,14,13,17,19,16,15,14,15,14,11,13,15,18,15,13,18,13,14,13,16,13,16,13,19,13,14,18,13,12,9,14,20,14,14,15,13,16,14,21,15,21,21
2017,Ortaokul,16,15,13,15,11,14,14,14,13,13,19,12,13,18,13,14,15,16,12,11,17,13,19,14,12,14,11,14,13,20,12,12,20,16,11,15,19,12,15,15,13,16,20,16,15,13,14,13,11,12,14,19,15,12,18,13,14,13,16,12,15,13,19,13,14,18,12,11,9,13,19,14,15,15,13,15,13,20,14,22,20
2018,Ortaokul,17,13,14,14,11,14,14,12,11,13,15,12,12,16,10,14,13,13,12,11,17,12,17,14,12,14,10,13,13,19,12,10,15,16,12,13,19,12,16,13,12,16,18,16,14,12,14,13,11,12,14,16,14,11,15,12,14,13,16,12,15,12,16,13,12,19,13,11,10,12,16,14,13,15,12,15,13,20,14,20,16
2019,Ortaokul,17,13,13,14,11,14,14,11,11,12,14,12,12,16,10,14,12,12,12,10,17,12,16,13,11,13,10,12,13,19,11,9,14,16,11,12,16,11,14,12,11,15,16,15,13,12,13,12,11,12,13,16,14,11,13,11,13,12,15,12,14,12,15,12,11,17,11,11,9,11,15,13,12,14,12,14,12,20,14,19,14
2020,Ortaokul,16,12,11,12,10,13,13,10,9,12,13,11,10,14,9,13,11,11,11,10,16,11,15,12,11,12,9,11,11,18,10,8,12,15,10,12,14,10,12,11,10,14,16,14,13,11,12,11,10,12,12,14,13,11,13,10,11,11,13,11,13,11,13,11,10,17,10,10,8,10,14,12,10,12,11,12,11,18,13,18,13
2021,Ortaokul,16,12,11,12,10,13,13,9,10,11,12,11,11,14,9,13,11,11,11,10,15,11,15,12,11,13,10,11,12,17,9,8,11,15,10,11,14,11,11,11,10,14,15,15,13,11,12,11,9,12,12,14,14,11,13,10,11,11,13,11,13,11,13,11,10,16,11,10,9,10,13,13,10,12,11,12,11,17,13,17,13
