Yıl,İl,YabancıGelenGöç
2022,Adana,3004
2022,Adıyaman,271
2022,Afyonkarahisar,1296
2022,Ağrı,355
2022,Amasya,352
2022,Ankara,19544
2022,Antalya,69441
2022,Artvin,138
2022,Aydın,4873
2022,Balıkesir,2021
2022,Bilecik,498
2022,Bingöl,117
2022,Bitlis,176
2022,Bolu,1453
2022,Burdur,763
2022,Bursa,16729
2022,Çanakkale,1460
2022,Çankırı,1171
2022,Çorum,767
2022,Denizli,3077
2022,Diyarbakır,453
2022,Edirne,1477
2022,Elazığ,2046
2022,Erzincan,822
2022,Erzurum,994
2022,Eskişehir,3928
2022,Gaziantep,1678
2022,Giresun,832
2022,Gümüşhane,352
2022,Hakkari,280
2022,Hatay,874
2022,Isparta,1732
2022,Mersin,17118
2022,İstanbul,156894
2022,İzmir,12107
2022,Kars,186
2022,Kastamonu,498
2022,Kayseri,2386
2022,Kırklareli,774
2022,Kırşehir,1073
2022,Kocaeli,5751
2022,Konya,4581
2022,Kütahya,2840
2022,Malatya,664
2022,Manisa,1428
2022,Kahramanmaraş,769
2022,Mardin,732
2022,Muğla,12899
2022,Muş,47
2022,Nevşehir,935
2022,Niğde,582
2022,Ordu,656
2022,Rize,313
2022,Sakarya,4470
2022,Samsun,3335
2022,Siirt,102
2022,Sinop,228
2022,Sivas,1253
2022,Tekirdağ,2074
2022,Tokat,992
2022,Trabzon,2876
2022,Tunceli,61
2022,Şanlıurfa,592
2022,Uşak,1388
2022,Van,995
2022,Yozgat,1266
2022,Zonguldak,894
2022,Aksaray,1634
2022,Bayburt,81
2022,Karaman,322
2022,Kırıkkale,813
2022,Batman,176
2022,Şırnak,163
2022,Bartın,713
2022,Ardahan,84
2022,Iğdır,229
2022,Yalova,3906
2022,Karabük,3344
2022,Kilis,67
2022,Osmaniye,218
2022,Düzce,1160
2021,Adana,4113
2021,Adıyaman,222
2021,Afyonkarahisar,1892
2021,Ağrı,423
2021,Amasya,511
2021,Ankara,41434
2021,Antalya,56350
2021,Artvin,99
2021,Aydın,2976
2021,Balıkesir,2576
2021,Bilecik,656
2021,Bingöl,88
2021,Bitlis,30
2021,Bolu,2664
2021,Burdur,1217
2021,Bursa,17307
2021,Çanakkale,1902
2021,Çankırı,1468
2021,Çorum,1070
2021,Denizli,4336
2021,Diyarbakır,730
2021,Edirne,738
2021,Elazığ,359
